Id,Label,Modularity Class,City,State,Country,Latitude,Longitude
1346,"abelardo luz,santa catarina,brazil",,abelardo luz,santa catarina,brazil,-26.565,-52.328
1347,"itobi,sao paulo,brazil",,itobi,sao paulo,brazil,-21.737,-46.975
1348,"itapipoca,ceara,brazil",,itapipoca,ceara,brazil,-3.494,-39.579
1349,"itubera,bahia,brazil",,itubera,bahia,brazil,-13.732,-39.149
1350,"salgueiro,pernambuco,brazil",,salgueiro,pernambuco,brazil,-8.067,-39.12
1351,"governador dix sept rosado,rio grande do norte,brazil",,governador dix sept rosado,rio grande do norte,brazil,-5.459,-37.521
1352,"touros,rio grande do norte,brazil",,touros,rio grande do norte,brazil,-5.199,-35.461
1353,"santo amaro da imperatriz,santa catarina,brazil",,santo amaro da imperatriz,santa catarina,brazil,-27.688,-48.779
1354,"ibaiti,parana,brazil",,ibaiti,parana,brazil,-23.849,-50.188
1355,"iepe,sao paulo,brazil",,iepe,sao paulo,brazil,-22.661,-51.076
1356,"miguelopolis,sao paulo,brazil",,miguelopolis,sao paulo,brazil,-20.179,-48.032
1357,"frei paulo,sergipe,brazil",,frei paulo,sergipe,brazil,-10.549,-37.534
1358,"solonopole,ceara,brazil",,solonopole,ceara,brazil,-5.733,-39.008
1359,"santaluz,bahia,brazil",,santaluz,bahia,brazil,-11.256,-39.375
1360,"sena madureira,acre,brazil",,sena madureira,acre,brazil,-9.066,-68.657
1361,"wenceslau braz,parana,brazil",,wenceslau braz,parana,brazil,-23.874,-49.803
1362,"marzagao,goias,brazil",,marzagao,goias,brazil,-17.981,-48.641
1363,"sao miguel,rio grande do norte,brazil",,sao miguel,rio grande do norte,brazil,-6.212,-38.497
1364,"limoeiro,pernambuco,brazil",,limoeiro,pernambuco,brazil,-7.875,-35.45
1365,"itabera,sao paulo,brazil",,itabera,sao paulo,brazil,-23.862,-49.137
1366,"cacequi,rio grande do sul,brazil",,cacequi,rio grande do sul,brazil,-29.884,-54.825
1367,"paraiso do norte,parana,brazil",,paraiso do norte,parana,brazil,-23.281,-52.602
1368,"itambe,parana,brazil",,itambe,parana,brazil,-23.661,-51.99
1369,"conceicao das alagoas,minas gerais,brazil",,conceicao das alagoas,minas gerais,brazil,-19.915,-48.388
1370,"santana de parnaiba,sao paulo,brazil",,santana de parnaiba,sao paulo,brazil,-23.444,-46.918
1371,"lund,skåne,sweden",,lund,skåne,sweden,55.70584,13.19321
1372,"buriti alegre,goias,brazil",,buriti alegre,goias,brazil,-18.144,-49.044
1373,"medina,minas gerais,brazil",,medina,minas gerais,brazil,-16.223,-41.477
1374,"pedro leopoldo,minas gerais,brazil",,pedro leopoldo,minas gerais,brazil,-19.618,-44.043
1375,"jandaia,goias,brazil",,jandaia,goias,brazil,-17.049,-50.146
1376,"monte santo de minas,minas gerais,brazil",,monte santo de minas,minas gerais,brazil,-21.19,-46.98
1377,"oeiras,piaui,brazil",,oeiras,piaui,brazil,-7.025,-42.131
