"city";"count";"uf";"country";"latitude";"longitude"
"padova";7;"veneto";"italy";45.40797;11.88586
"alto araguaia";7;"";"brazil";-17.315;-53.215
"alto rio doce";7;"";"brazil";-21.026;-43.411
"andirá";7;"";"brazil";-23.051;-50.229
"angatuba";7;"";"brazil";-23.49;-48.413
"areado";7;"";"brazil";-21.359;-46.146
"arealva";7;"";"brazil";-22.029;-48.911
"arvorezinha";7;"";"brazil";-28.872;-52.175
"assunção";7;"";"brazil";-7.074;-36.731
"bom retiro do sul";7;"";"brazil";-29.609;-51.943
"borrazópolis";7;"";"brazil";-23.941;-51.588
"brodowski";7;"";"brazil";-20.991;-47.659
"cândido godói";7;"";"brazil";-27.952;-54.752
"cândido rodrigues";7;"";"brazil";-21.325;-48.631
"capitólio";7;"";"brazil";-20.615;-46.05
"caraúbas";7;"";"brazil";-5.793;-37.557
"carmo";7;"";"brazil";-21.934;-42.609
"clevelândia";7;"";"brazil";-26.396;-52.471
"coração de jesus";7;"";"brazil";-16.685;-44.365
"estrela d'oeste";7;"";"brazil";-20.288;-50.401
"fátima do sul";7;"";"brazil";-22.374;-54.514
"hidrolândia";7;"";"brazil";-16.962;-49.229
"independência";7;"";"brazil";-27.833;-54.188
"indiaporã";7;"";"brazil";-19.98;-50.29
"itapuí";7;"";"brazil";-22.233;-48.719
"japurá";7;"";"brazil";-1.826;-66.599
"joão neiva";7;"";"brazil";-19.758;-40.386
"jussara";7;"";"brazil";-15.865;-50.868
"lambari";7;"";"brazil";-21.976;-45.35
"lauro muller";7;"";"brazil";-28.393;-49.397
"lima duarte";7;"";"brazil";-21.843;-43.793
"livramento";7;"";"brazil";-7.374;-36.946
"mimoso do sul";7;"";"brazil";-21.064;-41.366
"óbidos";7;"";"brazil";-1.918;-55.518
"oriente";7;"";"brazil";-22.153;-50.091
"patu";7;"";"brazil";-6.11;-37.637
"pindorama";7;"";"brazil";-21.186;-48.907
"pinhalzinho";7;"";"brazil";-22.779;-46.591
"piratuba";7;"";"brazil";-27.42;-51.772
"pojuca";7;"";"brazil";-12.431;-38.328
"remígio";7;"";"brazil";-6.903;-35.834
"rio dos cedros";7;"";"brazil";-26.738;-49.274
"sabará";7;"";"brazil";-19.886;-43.807
"salvador do sul";7;"";"brazil";-29.438;-51.511
"são joão batista";7;"";"brazil";-27.276;-48.849
"são josé do norte";7;"";"brazil";-32.015;-52.042
"serra branca";7;"";"brazil";-7.483;-36.665
"taió";7;"";"brazil";-27.116;-49.998
"taiúva";7;"";"brazil";-21.124;-48.452
"tauá";7;"";"brazil";-6.003;-40.293
"terra roxa";7;"";"brazil";-24.157;-54.097
"tocantins";7;"";"brazil";-21.175;-43.018
"trombudo central";7;"";"brazil";-27.299;-49.79
"turvo";7;"";"brazil";-25.043;-51.53
"ubiratã";7;"";"brazil";-24.545;-52.988
"tarauacá";6;"acre";"brazil";-8.16139;-70.76556
"itacoatiara";6;"amazonas";"brazil";-3.14306;-58.44417
"manacapuru";6;"amazonas";"brazil";-3.29972;-60.62056
"tabatinga";6;"amazonas";"brazil";-4.23116;-69.93858
"tucson";6;"arizona";"united states";32.22174;-110.92648
"barranquilla";6;"atlántico";"colombia";10.96854;-74.78132
"chillán";6;"biobío";"chile";-36.60664;-72.10344
"napoli";6;"campania";"italy";40.85631;14.24641
"lavras da mangabeira";6;"ceará";"brazil";-6.75333;-38.96444
"senador pompeu";6;"ceará";"brazil";-5.58806;-39.37167
"baixo guandu";6;"espírito santo";"brazil";-19.51889;-41.01583
"itapemirim";6;"espírito santo";"brazil";-21.01111;-40.83389
"amargosa";6;"estado de bahía";"brazil";-13.03028;-39.60472
"brumado";6;"estado de bahía";"brazil";-14.20361;-41.66528
"catu";6;"estado de bahía";"brazil";-12.35306;-38.37889
"esplanada";6;"estado de bahía";"brazil";-11.79611;-37.945
"itajuípe";6;"estado de bahía";"brazil";-14.67806;-39.375
"poções";6;"estado de bahía";"brazil";-14.52972;-40.36528
"santo amaro";6;"estado de bahía";"brazil";-12.54667;-38.71194
"ladário";6;"estado de mato grosso do sul";"brazil";-19.00472;-57.60167
"uruaçu";6;"goiás";"brazil";-14.52472;-49.14083
"nancy";6;"lorraine";"france";48.68439;6.18496
"presidente dutra";6;"maranhão";"brazil";-5.29;-44.49
"santa helena";6;"maranhão";"brazil";-2.23111;-45.3
"poconé";6;"mato grosso";"brazil";-16.25667;-56.62278
"cambuí";6;"minas gerais";"brazil";-22.61222;-46.0575
"congonhas";6;"minas gerais";"brazil";-20.50525;-43.8588
"iturama";6;"minas gerais";"brazil";-19.72806;-50.19556
"nepomuceno";6;"minas gerais";"brazil";-21.23583;-45.23583
"colonia";6;"new jersey";"united states";40.57455;-74.30209
"capanema";6;"pará";"brazil";-1.19583;-47.18083
"belo jardim";6;"pernambuco";"brazil";-8.33556;-36.42417
"barras";6;"piauí";"brazil";-4.24444;-42.29444
"belford roxo";6;"rio de janeiro";"brazil";-22.76417;-43.39944
"mendes";6;"rio de janeiro";"brazil";-22.52667;-43.73278
"macaíba";6;"rio grande do norte";"brazil";-5.85833;-35.35389
"tapes";6;"rio grande do sul";"brazil";-30.67333;-51.39583
"rio negrinho";6;"santa catarina";"brazil";-26.25444;-49.51833
"timbó";6;"santa catarina";"brazil";-26.82333;-49.27167
"santa cruz de la sierra";6;"santa cruz";"bolivia";-17.78629;-63.18117
"apiaí";6;"são paulo";"brazil";-24.50944;-48.8425
"campos do jordão";6;"são paulo";"brazil";-22.73944;-45.59139
"caraguatatuba";6;"são paulo";"brazil";-23.62028;-45.41306
"pilar do sul";6;"são paulo";"brazil";-23.81306;-47.71639
"rio das pedras";6;"são paulo";"brazil";-22.84333;-47.60611
"taquarituba";6;"são paulo";"brazil";-23.53306;-49.24444
"viradouro";6;"são paulo";"brazil";-20.87306;-48.29694
"tacna";6;"tacna";"peru";-18.01465;-70.25362
"tokyo";6;"tōkyō";"japan";35.6895;139.69171
"alicante";6;"valencia";"spain";38.34517;-0.48149
"alto garças";6;"";"brazil";-16.944;-53.528
"amarante";6;"";"brazil";-6.241;-42.855
"analândia";6;"";"brazil";-22.126;-47.663
"auriflama";6;"";"brazil";-20.686;-50.555
"bicas";6;"";"brazil";-21.725;-43.059
"buriti alegre";6;"";"brazil";-18.144;-49.044
"campinas do sul";6;"";"brazil";-27.716;-52.628
"caxambu do sul";6;"";"brazil";-27.161;-52.879
"conceição";6;"";"brazil";-7.562;-38.509
"coremas";6;"";"brazil";-7.014;-37.946
"descanso";6;"";"brazil";-26.826;-53.502
"domingos martins";6;"";"brazil";-20.363;-40.659
"faria lemos";6;"";"brazil";-20.808;-42.03
"fartura";6;"";"brazil";-23.388;-49.51
"faxinal dos guedes";6;"";"brazil";-26.853;-52.26
"goiandira";6;"";"brazil";-18.133;-48.085
"gramado";6;"";"brazil";-29.379;-50.874
"guaraciaba";6;"";"brazil";-26.599;-53.518
"guiratinga";6;"";"brazil";-16.349;-53.758
"iepê";6;"";"brazil";-22.661;-51.076
"ipanema";6;"";"brazil";-19.801;-41.713
"ipuã";6;"";"brazil";-20.438;-48.012
"itaiópolis";6;"";"brazil";-26.336;-49.906
"itanhém";6;"";"brazil";-17.166;-40.33
"itapagipe";6;"";"brazil";-19.909;-49.381
"itirapina";6;"";"brazil";-22.253;-47.823
"ivinhema";6;"";"brazil";-22.305;-53.815
"jaguapitã";6;"";"brazil";-23.113;-51.532
"jardim do seridó";6;"";"brazil";-6.584;-36.774
"lagoa formosa";6;"";"brazil";-18.779;-46.408
"marcelino ramos";6;"";"brazil";-27.462;-51.906
"maria da fé";6;"";"brazil";-22.308;-45.375
"matelândia";6;"";"brazil";-25.241;-53.996
"natividade";6;"";"brazil";-11.71;-47.723
"nova aliança";6;"";"brazil";-21.016;-49.496
"nova trento";6;"";"brazil";-27.286;-48.93
"palmitinho";6;"";"brazil";-27.355;-53.555
"palmitos";6;"";"brazil";-27.068;-53.161
"pedra lavrada";6;"";"brazil";-6.757;-36.48
"piquete";6;"";"brazil";-22.614;-45.176
"poloni";6;"";"brazil";-20.785;-49.824
"porciúncula";6;"";"brazil";-20.963;-42.041
"porto firme";6;"";"brazil";-20.673;-43.084
"porto lucena";6;"";"brazil";-27.856;-55.016
"pratápolis";6;"";"brazil";-20.745;-46.861
"resende costa";6;"";"brazil";-20.922;-44.238
"roca sales";6;"";"brazil";-29.284;-51.868
"rodeio bonito";6;"";"brazil";-27.471;-53.169
"rosário oeste";6;"";"brazil";-14.836;-56.428
"sabinópolis";6;"";"brazil";-18.666;-43.084
"santa terezinha";6;"";"brazil";-10.47;-50.503
"são geraldo";6;"";"brazil";-20.923;-42.834
"são joão";6;"";"brazil";-8.876;-36.367
"são valentim";6;"";"brazil";-27.558;-52.524
"são vicente do sul";6;"";"brazil";-29.692;-54.679
"uruburetama";6;"";"brazil";-3.625;-39.508
"união dos palmares";5;"alagoas";"brazil";-9.16278;-36.03194
"strasbourg";5;"alsace";"france";48.58392;7.74553
"maués";5;"amazonas";"brazil";-3.38361;-57.71861
"temuco";5;"araucanía";"chile";-38.73965;-72.59842
"bilbao";5;"basque country";"spain";43.26271;-2.92528
"tunja";5;"boyacá";"colombia";5.53528;-73.36778
"cajamarca";5;"cajamarca";"peru";-7.16378;-78.50027
"acaraú";5;"ceará";"brazil";-2.88556;-40.12
"camocim";5;"ceará";"brazil";-2.90222;-40.84111
"campos sales";5;"ceará";"brazil";-7.07444;-40.37611
"caucaia";5;"ceará";"brazil";-3.73611;-38.65306
"jaguaruana";5;"ceará";"brazil";-4.83389;-37.78111
"mombaça";5;"ceará";"brazil";-5.74306;-39.6275
"nova russas";5;"ceará";"brazil";-4.70667;-40.56306
"pedra branca";5;"ceará";"brazil";-5.45417;-39.71722
"pentecoste";5;"ceará";"brazil";-3.79278;-39.27028
"tianguá";5;"ceará";"brazil";-3.73222;-40.99167
"guarapari";5;"espírito santo";"brazil";-20.65367;-40.50204
"ibicaraí";5;"estado de bahía";"brazil";-14.865;-39.5875
"ituberá";5;"estado de bahía";"brazil";-13.73222;-39.14917
"jaguaquara";5;"estado de bahía";"brazil";-13.53056;-39.97083
"maragogipe";5;"estado de bahía";"brazil";-12.77778;-38.91944
"ruy barbosa";5;"estado de bahía";"brazil";-12.28389;-40.49389
"santa maria da vitória";5;"estado de bahía";"brazil";-13.39472;-44.18861
"naviraí";5;"estado de mato grosso do sul";"brazil";-23.065;-54.19056
"hamburg";5;"free and hanseatic city of hamburg";"germany";53.57532;10.01534
"anicuns";5;"goiás";"brazil";-16.46111;-49.96167
"itapuranga";5;"goiás";"brazil";-15.56222;-49.94861
"mineiros";5;"goiás";"brazil";-17.56944;-52.55111
"casablanca";5;"grand casablanca";"morocco";33.58831;-7.61138
"huánuco";5;"huanuco";"peru";-9.93062;-76.24223
"versailles";5;"île-de-france";"france";48.8;2.13333
"las tunas";5;"las tunas";"cuba";20.96167;-76.95111
"punta arenas";5;"magallanes";"chile";-53.15483;-70.91129
"balsas";5;"maranhão";"brazil";-7.5325;-46.03556
"barreirinhas";5;"maranhão";"brazil";-2.75556;-42.82591
"chapadinha";5;"maranhão";"brazil";-3.74167;-43.36028
"cururupu";5;"maranhão";"brazil";-1.82833;-44.86833
"jaciara";5;"mato grosso";"brazil";-15.96528;-54.96833
"várzea grande";5;"mato grosso";"brazil";-15.64667;-56.1325
"elói mendes";5;"minas gerais";"brazil";-21.61;-45.56528
"itapecerica";5;"minas gerais";"brazil";-20.4725;-45.12556
"mateus leme";5;"minas gerais";"brazil";-19.98639;-44.42778
"ribeirão das neves";5;"minas gerais";"brazil";-19.76694;-44.08667
"santa rita do sapucaí";5;"minas gerais";"brazil";-22.25222;-45.70333
"taiobeiras";5;"minas gerais";"brazil";-15.80778;-42.23306
"pasto";5;"nariño";"colombia";1.21361;-77.28111
"itaituba";5;"pará";"brazil";-4.27611;-55.98361
"vigia";5;"pará";"brazil";-0.85833;-48.14167
"mamanguape";5;"paraíba";"brazil";-6.83861;-35.12611
"astorga";5;"paraná";"brazil";-23.2325;-51.66556
"coronel vivida";5;"paraná";"brazil";-25.97972;-52.56778
"piraí do sul";5;"paraná";"brazil";-24.52611;-49.94861
"pitanga";5;"paraná";"brazil";-24.75722;-51.76139
"são miguel do iguaçu";5;"paraná";"brazil";-25.34806;-54.23778
"paysandú";5;"paysandú";"uruguay";-32.32139;-58.07556
"philadelphia";5;"pennsylvania";"united states";39.95233;-75.16379
"floresta";5;"pernambuco";"brazil";-8.60111;-38.56861
"nazaré da mata";5;"pernambuco";"brazil";-7.74167;-35.22778
"são josé do egito";5;"pernambuco";"brazil";-7.47889;-37.27444
"são lourenço da mata";5;"pernambuco";"brazil";-8.00222;-35.01833
"são raimundo nonato";5;"piauí";"brazil";-9.01528;-42.69944
"piura";5;"piura";"peru";-5.19449;-80.63282
"rabat";5;"rabat-salé-zemmour-zaër";"morocco";34.01325;-6.83255
"grenoble";5;"rhône-alpes";"france";45.16667;5.71667
"rio bonito";5;"rio de janeiro";"brazil";-22.70861;-42.60972
"apodi";5;"rio grande do norte";"brazil";-5.66417;-37.79889
"areia branca";5;"rio grande do norte";"brazil";-4.95611;-37.13694
"ceará mirim";5;"rio grande do norte";"brazil";-5.63444;-35.42556
"nova petrópolis";5;"rio grande do sul";"brazil";-29.37639;-51.11444
"são marcos";5;"rio grande do sul";"brazil";-28.97111;-51.06806
"sapiranga";5;"rio grande do sul";"brazil";-29.63806;-51.00694
"teutônia";5;"rio grande do sul";"brazil";-29.44806;-51.80639
"pereira";5;"risaralda";"colombia";4.81333;-75.69611
"biguaçu";5;"santa catarina";"brazil";-27.49417;-48.65556
"ibiúna";5;"são paulo";"brazil";-23.65639;-47.2225
"itapevi";5;"são paulo";"brazil";-23.54889;-46.93417
"nova odessa";5;"são paulo";"brazil";-22.7775;-47.29583
"pedreira";5;"são paulo";"brazil";-22.74194;-46.90139
"poá";5;"são paulo";"brazil";-23.52806;-46.34472
"santa isabel";5;"são paulo";"brazil";-23.31556;-46.22139
"santo antônio de posse";5;"são paulo";"brazil";-22.60611;-46.91944
"estância";5;"sergipe";"brazil";-11.26833;-37.43833
"são cristóvão";5;"sergipe";"brazil";-11.01472;-37.20639
"loreto";5;"zacatecas";"mexico";22.27248;-101.98898
"afuá";5;"";"brazil";-0.157;-50.387
"água doce";5;"";"brazil";-26.998;-51.556
"águas da prata";5;"";"brazil";-21.937;-46.717
"ajuricaba";5;"";"brazil";-28.239;-53.771
"altônia";5;"";"brazil";-23.874;-53.902
"antônio carlos";5;"";"brazil";-27.517;-48.768
"augusto pestana";5;"";"brazil";-28.517;-53.992
"bias fortes";5;"";"brazil";-21.606;-43.757
"bilac";5;"";"brazil";-21.403;-50.471
"boa esperança do sul";5;"";"brazil";-21.993;-48.391
"boqueirão";5;"";"brazil";-7.482;-36.135
"borborema";5;"";"brazil";-21.62;-49.074
"botelhos";5;"";"brazil";-21.633;-46.395
"brasiléia";5;"";"brazil";-11.01;-68.748
"brasília de minas";5;"";"brazil";-16.208;-44.429
"brejo do cruz";5;"";"brazil";-6.349;-37.498
"caiabu";5;"";"brazil";-22.012;-51.236
"califórnia";5;"";"brazil";-23.65;-51.355
"candeias";5;"";"brazil";-20.767;-45.276
"canhotinho";5;"";"brazil";-8.882;-36.191
"cantagalo";5;"";"brazil";-21.981;-42.368
"carlos chagas";5;"";"brazil";-17.703;-40.766
"castro alves";5;"";"brazil";-12.766;-39.428
"cedro";5;"";"brazil";-7.722;-39.239
"charqueada";5;"";"brazil";-22.51;-47.778
"chopinzinho";5;"";"brazil";-25.856;-52.523
"conquista";5;"";"brazil";-19.937;-47.542
"divinolândia";5;"";"brazil";-21.661;-46.739
"espera feliz";5;"";"brazil";-20.65;-41.907
"ferros";5;"";"brazil";-19.232;-43.023
"guaimbê";5;"";"brazil";-21.91;-49.897
"guapiaçu";5;"";"brazil";-20.795;-49.22
"guarani das missões";5;"";"brazil";-28.141;-54.558
"gurjão";5;"";"brazil";-7.247;-36.489
"herculândia";5;"";"brazil";-22.004;-50.385
"ibirá";5;"";"brazil";-21.08;-49.241
"iguaí";5;"";"brazil";-14.756;-40.089
"inhambupe";5;"";"brazil";-11.784;-38.353
"ipaussu";5;"";"brazil";-23.057;-49.626
"itaguaçu";5;"";"brazil";-19.802;-40.856
"itanhomi";5;"";"brazil";-19.172;-41.865
"jardim alegre";5;"";"brazil";-24.179;-51.692
"júlio mesquita";5;"";"brazil";-22.009;-49.787
"lagoa seca";5;"";"brazil";-7.171;-35.854
"maravilha";5;"";"brazil";-9.236;-37.35
"mesquita";5;"";"brazil";-22.7815;-43.4287
"mineiros do tietê";5;"";"brazil";-22.409;-48.451
"miradouro";5;"";"brazil";-20.891;-42.343
"mondaí";5;"";"brazil";-27.103;-53.402
"monte alegre de minas";5;"";"brazil";-18.871;-48.881
"muçum";5;"";"brazil";-29.165;-51.868
"mundo novo";5;"";"brazil";-13.776;-50.281
"nonoai";5;"";"brazil";-27.362;-52.771
"nova bassano";5;"";"brazil";-28.724;-51.705
"nova olinda";5;"";"brazil";-7.632;-48.423
"ouro";5;"";"brazil";-27.341;-51.618
"pão de açúcar";5;"";"brazil";-9.748;-37.437
"paramirim";5;"";"brazil";-13.443;-42.239
"pariquera-açu";5;"";"brazil";-24.715;-47.881
"patrocínio paulista";5;"";"brazil";-20.639;-47.282
"peabiru";5;"";"brazil";-23.913;-52.343
"pinhal grande";5;"";"brazil";-29.346;-53.307
"pirangi";5;"";"brazil";-21.091;-48.658
"porecatu";5;"";"brazil";-22.756;-51.379
"presidente olegário";5;"";"brazil";-18.418;-46.418
"quipapá";5;"";"brazil";-8.828;-36.012
"ribeirão do pinhal";5;"";"brazil";-23.408;-50.357
"rio azul";5;"";"brazil";-25.733;-50.796
"rio casca";5;"";"brazil";-20.226;-42.651
"romelândia";5;"";"brazil";-26.676;-53.314
"ronda alta";5;"";"brazil";-27.767;-52.802
"roque gonzales";5;"";"brazil";-28.131;-55.026
"saboeiro";5;"";"brazil";-6.542;-39.907
"salto grande";5;"";"brazil";-22.893;-49.986
"santa mariana";5;"";"brazil";-23.151;-50.519
"santana do acaraú";5;"";"brazil";-3.461;-40.212
"santana do matos";5;"";"brazil";-5.958;-36.656
"santo antônio da alegria";5;"";"brazil";-21.087;-47.151
"santo antônio da patrulha";5;"";"brazil";-29.818;-50.52
"santo antônio do pinhal";5;"";"brazil";-22.827;-45.663
"santo inácio";5;"";"brazil";-22.698;-51.794
"são francisco de paula";5;"";"brazil";-29.448;-50.584
"são joão do polêsine";5;"";"brazil";-29.614;-53.446
"são josé do calçado";5;"";"brazil";-21.025;-41.654
"são miguel arcanjo";5;"";"brazil";-23.878;-47.997
"são paulo do potengi";5;"";"brazil";-5.895;-35.763
"sud mennucci";5;"";"brazil";-20.691;-50.924
"sumé";5;"";"brazil";-7.672;-36.88
"tabuleiro do norte";5;"";"brazil";-5.247;-38.131
"teixeira";5;"";"brazil";-7.223;-37.254
"três marias";5;"";"brazil";-18.206;-45.242
"triunfo";5;"";"brazil";-29.943;-51.718
"urânia";5;"";"brazil";-20.246;-50.643
"rio largo";4;"alagoas";"brazil";-9.47833;-35.85333
"antofagasta";4;"antofagasta";"chile";-23.65236;-70.3954
"bordeaux";4;"aquitaine";"france";44.84044;-0.5805
"freiburg";4;"baden-württemberg region";"germany";47.9959;7.85222
"karlsruhe";4;"baden-württemberg region";"germany";49.00937;8.40444
"budapest";4;"budapest";"hungary";47.49801;19.03991
"olavarría";4;"buenos aires";"argentina";-36.89272;-60.32254
"tandil";4;"buenos aires";"argentina";-37.32167;-59.13316
"cabinda";4;"cabinda";"angola";-5.55;12.2
"salerno";4;"campania";"italy";40.67545;14.79328
"santander";4;"cantabria";"spain";43.46472;-3.80444
"covilhã";4;"castelo branco";"portugal";40.28601;-7.50396
"acopiara";4;"ceará";"brazil";-6.09528;-39.4525
"boa viagem";4;"ceará";"brazil";-5.1275;-39.73222
"ipueiras";4;"ceará";"brazil";-7.03333;-40.45
"maracanaú";4;"ceará";"brazil";-3.87667;-38.62556
"são gonçalo do amarante";4;"ceará";"brazil";-3.60722;-38.96833
"várzea alegre";4;"ceará";"brazil";-5.35;-40.38333
"tours";4;"centre";"france";47.38333;0.68333
"comodoro rivadavia";4;"chubut";"argentina";-45.86413;-67.49656
"cienfuegos";4;"cienfuegos";"cuba";22.14957;-80.44662
"bologna";4;"emilia-romagna";"italy";44.49381;11.33875
"conceição da barra";4;"espírito santo";"brazil";-18.59333;-39.73222
"serra";4;"espírito santo";"brazil";-20.12861;-40.30778
"coaraci";4;"estado de bahía";"brazil";-14.64083;-39.55111
"itororó";4;"estado de bahía";"brazil";-15.11694;-40.07028
"mata de são joão";4;"estado de bahía";"brazil";-12.53028;-38.29917
"aparecida do taboado";4;"estado de mato grosso do sul";"brazil";-20.08667;-51.09361
"maracaju";4;"estado de mato grosso do sul";"brazil";-21.61444;-55.16833
"faro";4;"faro";"portugal";37.01937;-7.93223
"leuven";4;"flanders";"belgium";50.87959;4.70093
"itaberaí";4;"goiás";"brazil";-16.02028;-49.81028
"luziânia";4;"goiás";"brazil";-16.2525;-47.95028
"huancavelica";4;"huancavelica";"peru";-12.78261;-74.97266
"suresnes";4;"île-de-france";"france";48.87143;2.22929
"jerusalem";4;"jerusalem district";"israel";31.76904;35.21633
"san salvador de jujuy";4;"jujuy";"argentina";-24.19457;-65.29712
"queluz";4;"lisbon";"portugal";38.75657;-9.25451
"funchal";4;"madeira";"portugal";32.63333;-16.9
"barra do corda";4;"maranhão";"brazil";-5.50308;-45.23693
"colinas";4;"maranhão";"brazil";-6.02583;-44.24917
"santa inês";4;"maranhão";"brazil";-3.66667;-45.38
"são josé de ribamar";4;"maranhão";"brazil";-2.56194;-44.05417
"talca";4;"maule";"chile";-35.4264;-71.65542
"barão de cocais";4;"minas gerais";"brazil";-19.94583;-43.48722
"barroso";4;"minas gerais";"brazil";-21.18694;-43.97583
"carandaí";4;"minas gerais";"brazil";-20.95361;-43.80639
"espinosa";4;"minas gerais";"brazil";-14.92611;-42.81917
"bielefeld";4;"north rhine-westphalia";"germany";52.03333;8.53333
"bonn";4;"north rhine-westphalia";"germany";50.73438;7.09549
"düsseldorf";4;"north rhine-westphalia";"germany";51.22172;6.77616
"oslo";4;"oslo county";"norway";59.91273;10.74609
"alenquer";4;"pará";"brazil";-1.94167;-54.73833
"benevides";4;"pará";"brazil";-1.36139;-48.24472
"mocajuba";4;"pará";"brazil";-2.58417;-49.50722
"soure";4;"pará";"brazil";-0.71667;-48.52333
"cabedelo";4;"paraíba";"brazil";-6.98111;-34.83389
"araucária";4;"paraná";"brazil";-25.59306;-49.41028
"dois vizinhos";4;"paraná";"brazil";-25.73361;-53.05722
"imbituva";4;"paraná";"brazil";-25.23;-50.60444
"paiçandu";4;"paraná";"brazil";-23.4575;-52.04861
"angers";4;"pays de la loire";"france";47.46667;-0.55
"nantes";4;"pays de la loire";"france";47.21725;-1.55336
"pittsburgh";4;"pennsylvania";"united states";40.44062;-79.99589
"bezerros";4;"pernambuco";"brazil";-8.23333;-35.79694
"catende";4;"pernambuco";"brazil";-8.66667;-35.71667
"gameleira";4;"pernambuco";"brazil";-8.58444;-35.38667
"moreno";4;"pernambuco";"brazil";-8.11861;-35.09222
"ouricuri";4;"pernambuco";"brazil";-7.8825;-40.08167
"piracuruca";4;"piauí";"brazil";-3.92806;-41.70917
"póvoa de varzim";4;"porto";"portugal";41.38344;-8.76364
"rio tinto";4;"porto";"portugal";41.18259;-8.55811
"potosí";4;"potosí";"bolivia";-19.58361;-65.75306
"marseille";4;"provence-alpes-côte d'azur";"france";43.29695;5.38107
"araruama";4;"rio de janeiro";"brazil";-22.87278;-42.34306
"itaocara";4;"rio de janeiro";"brazil";-21.66917;-42.07611
"mangaratiba";4;"rio de janeiro";"brazil";-22.95972;-44.04056
"miguel pereira";4;"rio de janeiro";"brazil";-22.45389;-43.46889
"queimados";4;"rio de janeiro";"brazil";-22.71611;-43.55528
"saquarema";4;"rio de janeiro";"brazil";-22.92;-42.51028
"açu";4;"rio grande do norte";"brazil";-5.57667;-36.90861
"rolante";4;"rio grande do sul";"brazil";-29.65056;-50.57583
"salta";4;"salta";"argentina";-24.7859;-65.41166
"salzburg";4;"salzburg";"austria";47.79941;13.04399
"sancti spíritus";4;"sancti spíritus";"cuba";21.92972;-79.4425
"braço do norte";4;"santa catarina";"brazil";-28.275;-49.16556
"indaial";4;"santa catarina";"brazil";-26.89778;-49.23167
"franco da rocha";4;"são paulo";"brazil";-23.32167;-46.72694
"ibaté";4;"são paulo";"brazil";-21.95472;-47.99667
"igaraçu do tietê";4;"são paulo";"brazil";-22.50917;-48.55778
"louveira";4;"são paulo";"brazil";-23.08639;-46.95056
"dresden";4;"saxony";"germany";51.05089;13.73832
"palermo";4;"sicily";"italy";38.13205;13.33561
"taipei";4;"taipei";"taiwan";25.04776;121.53185
"ibagué";4;"tolima";"colombia";4.43889;-75.23222
"tomsk";4;"tomsk";"russia";56.49771;84.97437
"pisa";4;"tuscany";"italy";43.70853;10.4036
"vila real";4;"vila real";"portugal";41.30062;-7.74413
"cardiff";4;"wales";"united kingdom";51.48;-3.18
"abadia dos dourados";4;"";"brazil";-18.486;-47.403
"agudo";4;"";"brazil";-29.645;-53.24
"alcobaça";4;"";"brazil";-17.519;-39.196
"alvorada";4;"";"brazil";-29.99;-51.084
"américo de campos";4;"";"brazil";-20.299;-49.732
"angicos";4;"";"brazil";-5.666;-36.601
"arenápolis";4;"";"brazil";-14.45;-56.846
"argirita";4;"";"brazil";-21.61;-42.836
"armazém";4;"";"brazil";-28.262;-49.018
"batalha";4;"";"brazil";-4.024;-42.078
"bonfim";4;"";"brazil";3.36;-59.833
"bonito";4;"";"brazil";-21.121;-56.482
"borda da mata";4;"";"brazil";-22.274;-46.165
"brasópolis";4;"";"brazil";-22.474;-45.608
"braúna";4;"";"brazil";-21.499;-50.316
"buriti dos lopes";4;"";"brazil";-3.175;-41.867
"caiapônia";4;"";"brazil";-16.957;-51.81
"caibaté";4;"";"brazil";-28.288;-54.638
"cajobi";4;"";"brazil";-20.88;-48.809
"cambuci";4;"";"brazil";-21.575;-41.911
"campanha";4;"";"brazil";-21.836;-45.401
"campo do brito";4;"";"brazil";-10.733;-37.493
"campo novo";4;"";"brazil";-27.675;-53.803
"canaã";4;"";"brazil";-20.686;-42.62
"cândido mendes";4;"";"brazil";-1.447;-45.717
"carmo da cachoeira";4;"";"brazil";-21.461;-45.224
"carmo do rio claro";4;"";"brazil";-20.972;-46.119
"carnaúba dos dantas";4;"";"brazil";-6.556;-36.595
"carrancas";4;"";"brazil";-21.488;-44.643
"casca";4;"";"brazil";-28.561;-51.978
"céu azul";4;"";"brazil";-25.147;-53.849
"chapada";4;"";"brazil";-28.055;-53.068
"coronel freitas";4;"";"brazil";-26.909;-52.703
"correntes";4;"";"brazil";-9.129;-36.33
"cosmorama";4;"";"brazil";-20.478;-49.778
"cruzália";4;"";"brazil";-22.677;-50.794
"cunha";4;"";"brazil";-23.074;-44.96
"cunha porã";4;"";"brazil";-26.894;-53.168
"david canabarro";4;"";"brazil";-28.388;-51.848
"divino";4;"";"brazil";-20.614;-42.149
"dom silvério";4;"";"brazil";-20.16;-42.968
"dona francisca";4;"";"brazil";-29.622;-53.357
"erval grande";4;"";"brazil";-27.391;-52.571
"feliz";4;"";"brazil";-29.451;-51.306
"firminópolis";4;"";"brazil";-16.582;-50.305
"floraí";4;"";"brazil";-23.317;-52.304
"formigueiro";4;"";"brazil";-30;-53.499
"francisco sá";4;"";"brazil";-16.476;-43.488
"gabriel monteiro";4;"";"brazil";-21.531;-50.555
"glória de dourados";4;"";"brazil";-22.418;-54.233
"guaraniaçu";4;"";"brazil";-25.101;-52.878
