name;name_ascii;abbr;latitude;longitude
instituto brasileiro de administração municipal;instituto brasileiro de administracao municipal;;;;;;
universidade da beira interior;universidade da beira interior;;;;;;
universidade de trás-os- montes e alto douro;universidade de tras-os- montes e alto douro;;;;;;
universidade mackenzie;universidade mackenzie;;;;;;
conselho regional de psicologia;conselho regional de psicologia;;;;;;
faculdade de filosofia de campos;faculdade de filosofia de campos;;;;;;
federação brasileira das sociedades de ginecologia e obstetrícia;federacao brasileira das sociedades de ginecologia e obstetricia;;;;;;
instituto de tecnologia da amazônia;instituto de tecnologia da amazonia;;;;;;
centro de tecnologia mineral;centro de tecnologia mineral;;;;;;
colégio positivo;colegio positivo;;;;;;
colégio são luís;colegio sao luis;;;;;;
escola nacional de saúde pública sergio arouca;escola nacional de saude publica sergio arouca;;;;;;
instituto brasileiro de mercado de capitais;instituto brasileiro de mercado de capitais;;;;;;
colégio santa maria;colegio santa maria;;;;;;
colégio santo andré;colegio santo andre;;;;;;
conselho brasileiro de oftalmologia;conselho brasileiro de oftalmologia;;;;;;
faculdade de filosofia ciências e letras de rio claro;faculdade de filosofia ciencias e letras de rio claro;;;;;;
fundação de apoio à escola técnica do estado do rio de janeiro;fundacao de apoio a escola tecnica do estado do rio de janeiro;;;;;;
instituto de matemática e estatística;instituto de matematica e estatistica;;;;;;
associação dos diplomados da escola superior de guerra;associacao dos diplomados da escola superior de guerra;;;;;;
companhia de pesquisa de recursos minerais;companhia de pesquisa de recursos minerais;;;;;;
faculdade de filosofia, letras e ciências humanas;faculdade de filosofia, letras e ciencias humanas;;;;;;
faculdade de filosofia nossa senhora da imaculada conceição;faculdade de filosofia nossa senhora da imaculada conceicao;;;;;;
faculdade de odontologia de araçatuba;faculdade de odontologia de aracatuba;;;;;;
instituto de biofísica carlos chagas filho;instituto de biofisica carlos chagas filho;;;;;;
instituto de educação de minas gerais;instituto de educacao de minas gerais;;;;;;
universidade estadual paulista;universidade estadual paulista;;;;;;
colégio marista dom silvério;colegio marista dom silverio;;;;;;
faculdade de direito de curitiba;faculdade de direito de curitiba;;;;;;
faculdade de engenharia de guaratinguetá;faculdade de engenharia de guaratingueta;;;;;;
hospital do servidor público estadual de são paulo;hospital do servidor publico estadual de sao paulo;;;;;;
câmara dos deputados;camara dos deputados;;;;;;
colégio pitágoras;colegio pitagoras;;;;;;
faculdade de filosofia ciências e letras barão de mauá;faculdade de filosofia ciencias e letras barao de maua;;;;;;
sociedade educacional de santa catarina;sociedade educacional de santa catarina;;;;;;
colégio imaculada conceição;colegio imaculada conceicao;;;;;;
consultório odontológico;consultorio odontologico;;;;;;
escola de engenharia mauá;escola de engenharia maua;;;;;;
exército brasileiro;exercito brasileiro;;;;;;
faculdade de filosofia ciências e letras imaculada conceição;faculdade de filosofia ciencias e letras imaculada conceicao;;;;;;
fundação escola técnica liberato salzano vieira da cunha;fundacao escola tecnica liberato salzano vieira da cunha;;;;;;
instituto brasileiro do meio ambiente e dos recursos naturais renováveis;instituto brasileiro do meio ambiente e dos recursos naturais renovaveis;;;;;;
instituto de ensino odontológico;instituto de ensino odontologico;;;;;;
irmandade da santa casa de misericórdia de porto alegre;irmandade da santa casa de misericordia de porto alegre;;;;;;
associação brasileira de psiquiatria;associacao brasileira de psiquiatria;;;;;;
escola de saúde pública do ceará;escola de saude publica do ceara;;;;;;
faculdade de filosofia ciências e letras de catanduva;faculdade de filosofia ciencias e letras de catanduva;;;;;;
faculdade de medicina de botucatu - unesp;faculdade de medicina de botucatu - unesp;;;;;;
hospital dos servidores do estado;hospital dos servidores do estado;;;;;;
departamento de engenharia química;departamento de engenharia quimica;;;;;;




