country_code,player,rank,match,tour,round,player_id,scrape_time,date_of_birth,height_inches,weight_lbs,hand,exact_age,age,country
AUT,Dominic Thiem,NA,39,ATP,1,78,8/23/2014 14:46,9/3/1993,72.834685,180,R,20.96919918,20,Austria
AUT,Jurgen Melzer,NA,62,ATP,1,123,8/23/2014 14:46,5/22/1981,72.047283,178,L,33.25393566,33,Austria
BEL,David Goffin,NA,51,ATP,1,102,8/23/2014 14:46,12/7/1990,70.86618,150,R,23.70978782,23,Belgium
BEL,Niels Desein,NA,51,ATP,1,101,8/23/2014 14:46,9/6/1987,75,185,R,26.96235455,26,Belgium
BEL,Steve Darcis,NA,34,ATP,1,67,8/23/2014 14:46,3/13/1984,70.078778,161,R,30.44490075,30,Belgium
BIH,Damir Dzumhur,NA,48,ATP,1,95,8/23/2014 14:46,5/20/1992,69,154,R,22.2587269,22,Bosnia
BRA,Thomaz Bellucci,NA,18,ATP,1,35,8/23/2014 14:46,12/30/1987,74.015788,181,L,26.64750171,26,Brazil
BUL,Grigor Dimitrov,7,49,ATP,1,97,8/23/2014 14:46,5/16/1991,74.80319,176,R,23.27173169,23,Bulgaria
CAN,Vasek Pospisil,NA,23,ATP,1,46,8/23/2014 14:46,6/23/1990,75.984293,185,R,24.1670089,24,Canada
CAN,Frank Dancevic,NA,52,ATP,1,103,8/23/2014 14:46,9/26/1984,72.834685,175,R,29.90554415,29,Canada
CAN,Milos Raonic,5,32,ATP,1,64,8/23/2014 14:46,12/27/1990,77.165396,218,R,23.6550308,23,Canada
COL,Alejandro Gonzalez,NA,54,ATP,1,107,8/23/2014 14:46,2/7/1989,74.80319,182,R,25.53867214,25,Colombia
COL,Alejandro Falla,NA,20,ATP,1,39,8/23/2014 14:46,11/14/1983,72.834685,169,L,30.77344285,30,Colombia
COL,Santiago Giraldo,27,36,ATP,1,72,8/23/2014 14:46,11/27/1987,74.015788,166,R,26.73785079,26,Colombia
CRO,Ivo Karlovic,25,61,ATP,1,121,8/23/2014 14:46,2/28/1979,83.070911,230,R,35.4825462,35,Croatia
CRO,Ivan Dodig,NA,37,ATP,1,74,8/23/2014 14:46,1/2/1985,72.047283,183,R,29.63723477,29,Croatia
CRO,Borna Coric,NA,29,ATP,1,58,8/23/2014 14:46,11/14/1999,73,174,R,14.77344285,14,Croatia
CRO,Marin Cilic,14,41,ATP,1,81,8/23/2014 14:46,9/28/1988,77.952798,180,R,25.90006845,25,Croatia
