;Label;Modularity Class;City;State;Country;In-Degree;Out-Degree;Degree;Weighted Degree;Weighted In-Degree;Weighted Out-Degree;;;;
;universidade catolica de brasilia;instituition;brasilia;federal district;brazil;82;0;82;212;212;0;;;;
;fundacao universidade federal de ciencias da saude de porto alegre;instituition;porto alegre;rio grande do sul;brazil;50;0;50;207;207;0;;;;
;universidade do oeste paulista;instituition;presidente prudente;sao paulo;brazil;99;0;99;202;202;0;;;;
;universidade catolica dom bosco;instituition;campo grande;mato grosso do sul;brazil;88;0;88;200;200;0;;;;
;universidade de santa cruz do sul;instituition;santa cruz do sul;rio grande do sul;brazil;54;0;54;198;198;0;;;;
;centro universitario de brasilia;instituition;brasilia;federal district;brazil;79;0;79;188;188;0;;;;
;faculdade de engenharia quimica de lorena;instituition;lorena;sao paulo;brazil;74;0;74;183;183;0;;;;
;fundacao tecnico educacional souza marques;instituition;rio de janeiro;rio de janeiro;brazil;33;0;33;182;182;0;;;;
;universidade regional integrada do alto uruguai e das missoes;instituition;erechim;rio grande do sul;brazil;77;0;77;182;182;0;;;;
;centro universitario barao de maua;instituition;ribeirao preto;sao paulo;brazil;61;0;61;178;178;0;;;;
;universidade estadual do centro oeste;instituition;guarapuava;parana;brazil;67;0;67;175;175;0;;;;
;universidade de sao paulo;instituition;sao paulo;sao paulo;brazil;84;0;84;173;173;0;;;;
;universidade federal do acre;instituition;rio branco;acre;brazil;52;0;52;172;172;0;;;;
;fundacao oswaldo cruz;instituition;curitiba;parana;brazil;70;0;70;167;167;0;;;;
;universidade braz cubas;instituition;mogi das cruzes;sao paulo;brazil;60;0;60;165;165;0;;;;
;universidade candido mendes;instituition;rio de janeiro;rio de janeiro;brazil;50;0;50;164;164;0;;;;
;colegio pedro ii;instituition;rio de janeiro;rio de janeiro;brazil;15;0;15;160;160;0;;;;
;universidade da amazonia;instituition;belem;para;brazil;30;0;30;159;159;0;;;;
;faculdades oswaldo cruz;instituition;sao paulo;sao paulo;brazil;45;0;45;156;156;0;;;;
;universidade de guarulhos;instituition;guarulhos;sao paulo;brazil;53;0;53;156;156;0;;;;
;faculdade de medicina de sao jose do rio preto;instituition;sao jose do rio preto;sao paulo;brazil;68;0;68;156;156;0;;;;
;faculdade de ciencias medicas de santos;instituition;santos;sao paulo;brazil;35;0;35;155;155;0;;;;
;universidade do vale do paraiba;instituition;sao jose dos campos;sao paulo;brazil;60;0;60;155;155;0;;;;
;universidade paranaense;instituition;umuarama;parana;brazil;74;0;74;155;155;0;;;;
;fundacao escola de sociologia e politica de sao paulo;instituition;sao paulo;sao paulo;brazil;70;0;70;154;154;0;;;;
;centro universitario fundacao santo andre;instituition;santo andre;sao paulo;brazil;36;0;36;153;153;0;;;;
;universidade salgado de oliveira;instituition;sao goncalo;rio de janeiro;brazil;75;0;75;151;151;0;;;;
;universidade do estado de minas gerais;instituition;belo horizonte;minas gerais;brazil;70;0;70;150;150;0;;;;
;faculdades metropolitanas unidas;instituition;sao paulo;sao paulo;brazil;47;0;47;146;146;0;;;;
;universidade federal de rondonia;instituition;porto velho;rondonia;brazil;87;0;87;144;144;0;;;;
;universidade do estado do rio grande do norte;instituition;mossoro;rio grande do norte;brazil;53;0;53;144;144;0;;;;
;colegio sao jose;instituition;vila velha;espirito santo;brazil;64;0;64;143;143;0;;;;
;universidad nacional mayor de san marcos;instituition;lima;provincia de lima;peru;21;0;21;143;143;0;;;;
;universidade estadual de goias;instituition;anapolis;goias;brazil;61;0;61;140;140;0;;;;
;faculdade de medicina de marilia;instituition;marilia;sao paulo;brazil;58;0;58;140;140;0;;;;
;universidade do estado de mato grosso;instituition;caceres;mato grosso;brazil;103;0;103;140;140;0;;;;
;universidade da regiao da campanha;instituition;bage;rio grande do sul;brazil;42;0;42;138;138;0;;;;
;escola paulista de medicina;instituition;sao paulo;sao paulo;brazil;49;0;49;137;137;0;;;;
;universidade tuiuti do parana;instituition;curitiba;parana;brazil;54;0;54;137;137;0;;;;
;escola tecnica federal de quimica do rio de janeiro;instituition;rio de janeiro;rio de janeiro;brazil;10;0;10;135;135;0;;;;
;universidade do estado do para;instituition;belem;para;brazil;33;0;33;133;133;0;;;;
;universidade catolica de petropolis;instituition;petropolis;rio de janeiro;brazil;43;0;43;133;133;0;;;;
;universidade jose do rosario vellano;instituition;alfenas;minas gerais;brazil;77;0;77;129;129;0;;;;
;centro universitario claretiano de batatais;instituition;batatais;sao paulo;brazil;75;0;75;129;129;0;;;;
;faculdade de humanidades pedro ii;instituition;rio de janeiro;rio de janeiro;brazil;28;0;28;128;128;0;;;;
;centro universitario herminio ometto de araras;instituition;araras;sao paulo;brazil;53;0;53;125;125;0;;;;
;universidade estadual vale do acarau;instituition;sobral;ceara;brazil;58;0;58;124;124;0;;;;
;instituto maua de tecnologia;instituition;sao caetano do sul;sao paulo;brazil;25;0;25;122;122;0;;;;
;faculdade frassinetti do recife;instituition;recife;pernambuco;brazil;40;0;40;121;121;0;;;;
;universidade do oeste de santa catarina;instituition;sao miguel do oeste;santa catarina;brazil;66;0;66;120;120;0;;;;
;faculdade de medicina de ribeirao preto da universidade de sao paulo;instituition;ribeirao preto;sao paulo;brazil;50;0;50;119;119;0;;;;
;colegio dante alighieri;instituition;sao paulo;sao paulo;brazil;15;0;15;118;118;0;;;;
;centro universitario de araraquara;instituition;araraquara;sao paulo;brazil;40;0;40;117;117;0;;;;
;faculdade de medicina do abc;instituition;santo andre;sao paulo;brazil;23;0;23;116;116;0;;;;
;instituto federal da bahia;instituition;salvador;bahia;brazil;28;0;28;114;114;0;;;;
;faculdade de ciencias medicas de minas gerais;instituition;belo horizonte;minas gerais;brazil;49;0;49;112;112;0;;;;
;fundacao getulio vargas;instituition;sao paulo;sao paulo;brazil;52;0;52;110;110;0;;;;
;universidade do grande rio;instituition;duque de caxias;rio de janeiro;brazil;24;0;24;110;110;0;;;;
;faculdade de filosofia ciencias e letras de ribeirao preto usp;instituition;ribeirao preto;sao paulo;brazil;40;0;40;108;108;0;;;;
;universidade de cruz alta;instituition;cruz alta;rio grande do sul;brazil;43;0;43;108;108;0;;;;
;universidade estadual do piaui;instituition;teresina;piaui;brazil;36;0;36;107;107;0;;;;
;universidade sao marcos;instituition;sao paulo;sao paulo;brazil;39;0;39;106;106;0;;;;
;escola tecnica federal de pernambuco;instituition;recife;pernambuco;brazil;27;0;27;106;106;0;;;;
;universidade tiradentes;instituition;aracaju;sergipe;brazil;26;0;26;106;106;0;;;;
;escola tecnica federal de sao paulo;instituition;sao paulo;sao paulo;brazil;16;0;16;104;104;0;;;;
