"city";"uf";"country";"latitude";"longitude";"count"
"Alterosa";"minas gerais";"brasil";-21.249;-46.143;8
"São Sebastião da Grama";"sao paulo";"brasil";-21.711;-46.821;8
"Leuven";"Flanders";"Belgium";50.87959;4.70093;8
"São Paulo do Potengi";"rio grande do norte";"brasil";-5.895;-35.763;8
"Princesa Isabel";"paraiba";"brasil";-7.737;-37.993;8
"Piracaia";"sao paulo";"brasil";-23.054;-46.358;8
"Morungaba";"sao paulo";"brasil";-22.88;-46.792;8
"Itororó";"bahia";"brasil";-15.117;-40.07;8
"Jarinu";"sao paulo";"brasil";-23.101;-46.728;8
"Salto do Lontra";"parana";"brasil";-25.784;-53.309;8
"Santiago del Estero";"Santiago del Estero";"Argentina";-27.79511;-64.26149;8
"Peçanha";"minas gerais";"brasil";-18.549;-42.557;8
"Esplanada";"bahia";"brasil";-11.796;-37.945;8
"Belterra";"para";"brasil";-2.636;-54.937;8
"João Câmara";"rio grande do norte";"brasil";-5.538;-35.82;8
"Simão Dias";"sergipe";"brasil";-10.738;-37.811;8
"Conchal";"sao paulo";"brasil";-22.33;-47.173;8
"Pirapetinga";"minas gerais";"brasil";-21.656;-42.346;8
"Montería";"Córdoba";"Colombia";8.74798;-75.88143;8
"Benevides";"para";"brasil";-1.361;-48.245;8
"Carmo do Cajuru";"minas gerais";"brasil";-20.184;-44.771;8
"Mar de Espanha";"minas gerais";"brasil";-21.867;-43.01;8
"Altos";"piaui";"brasil";-5.039;-42.461;8
"Ipaumirim";"ceara";"brasil";-6.79;-38.719;8
"Mariópolis";"parana";"brasil";-26.355;-52.559;8
"Pinhal Grande";"rio grande do sul";"brasil";-29.346;-53.307;8
"Piritiba";"bahia";"brasil";-11.73;-40.555;8
"Angers";"Pays de la Loire";"France";47.46667;-0.55;7
"Bielefeld";"North Rhine-Westphalia";"Germany";52.03333;8.53333;7
"Condor";"rio grande do sul";"brasil";-28.208;-53.487;7
"New Delhi";"NCT";"India";28.63576;77.22445;7
"São Vicente de Minas";"minas gerais";"brasil";-21.713;-44.444;7
"Júlio Mesquita";"sao paulo";"brasil";-22.009;-49.787;7
"Mindelo";"São Vicente";"Cape Verde";16.89014;-24.98042;7
"Barreirinhas";"maranhao";"brasil";-2.747;-42.826;7
"Japaratuba";"sergipe";"brasil";-10.593;-36.94;7
"Mata de São João";"bahia";"brasil";-12.53;-38.299;7
"Marmeleiro";"parana";"brasil";-26.149;-53.026;7
"Riolândia";"sao paulo";"brasil";-19.99;-49.681;7
"Corrente";"piaui";"brasil";-10.443;-45.162;7
"Machadinho";"rio grande do sul";"brasil";-27.567;-51.668;7
"Canindé";"ceara";"brasil";-4.359;-39.312;7
"Los Ángeles";"Biobío";"Chile";-37.46973;-72.35366;7
"Dom Silvério";"minas gerais";"brasil";-20.16;-42.968;7
"Paulínia";"sao paulo";"brasil";-22.761;-47.154;7
"Italva";"rio de janeiro";"brasil";-21.421;-41.691;7
"Rabat";"Rabat-Salé-Zemmour-Zaër";"Morocco";34.01325;-6.83255;7
"Santo Antônio das Missões";"rio grande do sul";"brasil";-28.511;-55.228;7
"Dortmund";"North Rhine-Westphalia";"Germany";51.51494;7.466;7
"Santa Margarida";"minas gerais";"brasil";-20.384;-42.251;7
"Neópolis";"sergipe";"brasil";-10.32;-36.579;7
"Bayamo";"Granma";"Cuba";20.37917;-76.64333;7
"Piacatu";"sao paulo";"brasil";-21.592;-50.599;7
"Aiuaba";"ceara";"brasil";-6.574;-40.124;7
"Santa Albertina";"sao paulo";"brasil";-20.032;-50.728;7
"Brest";"Brittany";"France";48.4;-4.48333;7
"Nantes";"Pays de la Loire";"France";47.21725;-1.55336;7
"Mocajuba";"para";"brasil";-2.584;-49.507;7
"Camaçari";"bahia";"brasil";-12.698;-38.324;7
"Candeal";"bahia";"brasil";-11.808;-39.119;7
"Jucurutu";"rio grande do norte";"brasil";-6.034;-37.02;7
"São Domingos do Prata";"minas gerais";"brasil";-19.865;-42.968;7
"São João Evangelista";"minas gerais";"brasil";-18.548;-42.763;7
"Camboriú";"santa catarina";"brasil";-27.025;-48.654;7
"Cristalândia";"tocantins";"brasil";-10.6;-49.193;7
"São Felipe";"bahia";"brasil";-12.847;-39.089;7
"Fraiburgo";"santa catarina";"brasil";-27.026;-50.921;7
"São José do Ouro";"rio grande do sul";"brasil";-27.769;-51.594;7
"Oviedo";"Asturias";"Spain";43.36029;-5.84476;7
"Salzburg";"Salzburg";"Austria";47.79941;13.04399;7
"Tocantinópolis";"tocantins";"brasil";-6.329;-47.416;7
"Detroit";"Michigan";"United States";42.33143;-83.04575;7
"Nerópolis";"goias";"brasil";-16.406;-49.219;7
"Monterrey";"Nuevo León";"Mexico";25.67507;-100.31847;7
"Tesouro";"mato grosso";"brasil";-16.079;-53.553;7
"Trieste";"Friuli Venezia Giulia";"Italy";45.64325;13.7903;7
"Boquim";"sergipe";"brasil";-11.147;-37.621;7
"Rennes";"Brittany";"France";48.11198;-1.67429;7
"Bristol";"England";"United Kingdom";51.45523;-2.59665;7
"Paranapanema";"sao paulo";"brasil";-23.389;-48.723;7
"Conceição do Rio Verde";"minas gerais";"brasil";-21.881;-45.085;7
"Alta Floresta";"mato grosso";"brasil";-9.876;-56.086;7
"São Tomás de Aquino";"minas gerais";"brasil";-20.784;-47.098;7
"Pocrane";"minas gerais";"brasil";-19.62;-41.637;7
"Bossoroca";"rio grande do sul";"brasil";-28.73;-54.9;7
"Barbosa Ferraz";"parana";"brasil";-24.03;-52.012;7
"São José de Espinharas";"paraiba";"brasil";-6.847;-37.326;7
