"id";"name";"name_ascii";"abbr";"city";"state";"country";"latitude";"longitude"
138;"faculdade canção nova";"faculdade cancao nova";"";"cachoeira paulista";"sao paulo";"brasil";-22.665;"-45.009"
139;"faculdade casa branca";"faculdade casa branca";"";"casa branca";"sao paulo";"brasil";-21.774;"-47.086"
140;"faculdade cásper líbero";"faculdade casper libero";"fcl";"sao paulo";"sao paulo";"brasil";-23.548;"-46.636"
147;"faculdade da serra gaúcha";"faculdade da serra gaucha";"";"caxias do sul";"rio grande do sul";"brasil";-29.168;"-51.179"
180;"união latino-americada de tecnologia";"uniao latino americada de tecnologia";"";"jaguariaiva";"parana";"brasil";-24.251;"-49.706"
149;"universidade federal do rio grande do norte";"universidade federal do rio grande do norte";"ufrn";"natal";"rio grande do norte";"brasil";-5.795;"-35.209"
191;"faculdade presidente antônio carlos de são lourenço";"faculdade presidente antonio carlos de sao lourenco";"";"sao lourenco";"minas gerais";"brasil";-22.116;"-45.054"
192;"faculdade cenecista de sete lagoas";"faculdade cenecista de sete lagoas";"";"sete lagoas";"minas gerais";"brasil";-19.466;"-44.247"
194;"faculdade de tecnologia senai jaraguá do sul";"faculdade de tecnologia senai jaragua do sul";"";"jaragua do sul";"santa catarina";"brasil";-26.486;"-49.067"
195;"faculdade de belém";"faculdade de belem";"";"belem";"para";"brasil";-1.456;"-48.504"
196;"faculdade stella maris";"faculdade stella maris";"";"fortaleza";"ceara";"brasil";-3.717;"-38.543"
197;"faculdade três pontas";"faculdade tres pontas";"";"tres pontas";"minas gerais";"brasil";-21.367;"-45.513"
229;"universidade salvador";"universidade salvador";"unifacs";"salvador";"bahia";"brasil";-12.971;"-38.511"
199;"faculdade são fidelis";"faculdade sao fidelis";"";"sao fidelis";"rio de janeiro";"brasil";-21.646;"-41.747"
201;"escola superior de aviação civil";"escola superior de aviacao civil";"";"campina grande";"paraiba";"brasil";-7.231;"-35.881"
202;"faculdade de ciências humanas de fortaleza";"faculdade de ciencias humanas de fortaleza";"";"fortaleza";"ceara";"brasil";-3.717;"-38.543"
203;"faculdade decision de negócios";"faculdade decision de negocios";"";"porto alegre";"rio grande do sul";"brasil";-30.033;"-51.23"
205;"faculdade de tecnologia senai antônio adolpho lobbe";"faculdade de tecnologia senai antonio adolpho lobbe";"";"sao carlos";"sao paulo";"brasil";-22.018;"-47.891"
206;"faculdade de tecnologia senai cetind";"faculdade de tecnologia senai cetind";"";"lauro de freitas";"bahia";"brasil";-12.894;"-38.327"
207;"faculdade palotina";"faculdade palotina";"";"santa maria";"rio grande do sul";"brasil";-29.684;"-53.807"
208;"faculdade de tecnologia de jahu";"faculdade de tecnologia de jahu";"";"jau";"sao paulo";"brasil";-22.296;"-48.558"
209;"faculdade escritor osman da costa lins";"faculdade escritor osman da costa lins";"";"vitoria de santo antao";"pernambuco";"brasil";-8.118;"-35.291"
211;"faculdade de engenharia e inovação técnico profissi";"faculdade de engenharia e inovacao tecnico profissi";"";"maringa";"parana";"brasil";-23.425;"-51.939"
212;"faculdade de engenharia souza marques";"faculdade de engenharia souza marques";"";"rio de janeiro";"rio de janeiro";"brasil";-22.903;"-43.208"
213;"faculdade de ensino superior da amazônia";"faculdade de ensino superior da amazonia";"";"macapa";"amapa";"brasil";0.039;"-51.066"
214;"faculdade de ensino superior de marechal cândido rondon";"faculdade de ensino superior de marechal candido rondon";"";"marechal candido rondon";"parana";"brasil";-24.556;"-54.057"
215;"faculdade de ensino superior do nordeste";"faculdade de ensino superior do nordeste";"";"joao pessoa";"paraiba";"brasil";-7.115;"-34.863"
216;"faculdade santa cecília";"faculdade santa cecilia";"";"pindamonhangaba";"sao paulo";"brasil";-22.924;"-45.462"
218;"universidade federal de juiz de fora";"universidade federal de juiz de fora";"ufjf";"juiz de fora";"minas gerais";"brasil";-21.764;"-43.35"
219;"universidade federal de pelotas";"universidade federal de pelotas";"ufpel";"pelotas";"rio grande do sul";"brasil";-31.772;"-52.343"
220;"universidade federal do amazonas";"universidade federal do amazonas";"ufam";"manaus";"amazonas";"brasil";-3.102;"-60.025"
221;"faculdade sedac";"faculdade sedac";"";"varzea grande";"mato grosso";"brasil";-15.647;"-56.133"
222;"faculdade de enfermagem de passos";"faculdade de enfermagem de passos";"";"passos";"minas gerais";"brasil";-20.719;"-46.61"
224;"faculdade de enfermagem nova esperança";"faculdade de enfermagem nova esperanca";"";"joao pessoa";"paraiba";"brasil";-7.115;"-34.863"
225;"faculdade polis das artes";"faculdade polis das artes";"";"embu";"sao paulo";"brasil";-23.649;"-46.852"
226;"faculdade de ensino superior da paraíba";"faculdade de ensino superior da paraiba";"";"joao pessoa";"paraiba";"brasil";-7.115;"-34.863"
228;"faculdade bezerra de araújo";"faculdade bezerra de araujo";"";"rio de janeiro";"rio de janeiro";"brasil";-22.903;"-43.208"
233;"universidade severino sombra";"universidade severino sombra";"uss";"vassouras";"rio de janeiro";"brasil";-22.404;"-43.663"
230;"faculdade brasileira";"faculdade brasileira";"";"vitoria";"espirito Santo";"brasil";-20.319;"-40.338"
231;"centro universitário senac";"centro universitario senac";"";"sao paulo";"sao paulo";"brasil";-23.548;"-46.636"
232;"faculdade ccaa";"faculdade ccaa";"";"rio de janeiro";"rio de janeiro";"brasil";-22.903;"-43.208"
234;"faculdade pitágoras de ipatinga";"faculdade pitagoras de ipatinga";"";"ipatinga";"minas gerais";"brasil";-19.468;"-42.537"
235;"faculdade pitágoras de teixeira de freitas";"faculdade pitagoras de teixeira de freitas";"";"teixeira de freitas";"bahia";"brasil";-17.535;"-39.742"
236;"faculdade presidente antônio carlos de uberlândia";"faculdade presidente antonio carlos de uberlandia";"";"uberlandia";"minas gerais";"brasil";-18.919;"-48.277"
237;"faculdades integradas barros melo";"faculdades integradas barros melo";"";"olinda";"pernambuco";"brasil";-8.009;"-34.855"
238;"faculdade seama";"faculdade seama";"";"macapa";"amapa";"brasil";0.039;"-51.066"
