url,rank,country,presence,impact,openness,excellence
http://www.uba.ar/,307,ar,479,590,192,367
http://www.mahidol.ac.th/,308,th,312,321,533,572
http://www.usask.ca/,309,ca,454,419,525,370
http://www.uni-bielefeld.de/,310,de,513,331,387,558
http://www.temple.edu/,311,us,776,277,1527,258
http://www.hanyang.ac.kr/,312,kr,229,428,1010,330
http://www.hokudai.ac.jp/,313,jp,473,614,442,277
http://www.upmc.fr/,314,fr,1066,997,685,22
http://www.uni-kiel.de/,315,de,648,482,521,305
http://www.uni-wuerzburg.de/,316,de,674,602,647,181
http://www.uji.es/,317,es,423,256,339,777
http://www.gsu.edu/,318,us,1153,274,402,518
http://www.nccu.edu.tw/,319,tw,93,245,102,1389
http://www.cug.edu.cn/,320,cn,1031,120,1559,526
http://go.okstate.edu/,321,us,1065,248,617,491
http://www.unb.br/,322,br,488,455,22,848
http://www.uw.edu.pl/,323,pl,165,436,663,489
http://www.qut.edu.au/,324,au,1022,656,83,343
http://sydney.edu.au/,325,au,817,712,1456,36
http://www.tohoku.ac.jp/,326,jp,761,705,713,127
http://www.uni-jena.de/,327,de,217,630,912,249
http://www.uct.ac.za/,328,za,1039,568,352,267
http://www.ucd.ie/,329,ie,374,545,1023,231
http://www.unizar.es/,330,es,679,488,461,351
http://www.ufpr.br/,331,br,102,624,42,838
http://www.uoa.gr/,332,gr,515,506,1167,190
http://www.uoguelph.ca/,333,ca,1102,387,500,359
http://www.unina.it/,334,it,728,826,386,170
http://www.slu.se/,335,se,287,806,165,391
http://www.seu.edu.cn/,336,cn,614,306,1801,279
http://www.scu.edu.cn/,337,cn,781,189,2599,276
http://www.uni-duesseldorf.de/,338,de,591,585,643,271
http://www.uestc.edu.cn/,339,cn,897,265,856,463
http://www.technion.ac.il/,340,il,75,804,981,246
http://www.uni-bremen.de/,341,de,628,333,821,449
http://www.usal.es/,342,es,369,558,107,644
http://www.jyu.fi/,343,fi,274,552,251,574
http://www.weizmann.ac.il/,344,il,70,651,1428,260
http://www.nsysu.edu.tw/,345,tw,99,829,130,552
http://www.upf.edu/,346,es,617,403,513,465
http://www.concordia.ca/,347,ca,584,426,343,540
http://www.uow.edu.au/,348,au,475,768,141,404
http://www.ufmg.br/,349,br,494,832,50,456
http://www.le.ac.uk/,350,uk,1401,444,640,274
http://www.hit.edu.cn/,351,cn,696,228,3021,193
http://uit.no/,352,no,72,670,498,502
http://www.uni-due.de/,353,de,405,516,1228,257
http://www.unl.pt/,354,pt,129,799,213,504
http://www.usc.es/,355,es,109,867,325,402
http://www.pdx.edu/,356,us,156,374,472,785
http://www.unifi.it/,357,it,898,553,984,189
http://www.oulu.fi/,358,fi,222,497,846,438
http://www.lboro.ac.uk/,359,uk,765,472,431,446
http://www.wm.edu/,360,us,35,522,706,670
http://www.montana.edu/,361,us,201,409,603,662
http://www.cau.edu.cn/,362,cn,175,391,1297,483
http://www.ut.ac.ir/,363,ir,809,912,57,384
http://www.ua.edu/,364,us,670,276,871,606
http://www.cityu.edu.hk/,365,hk,1154,688,489,219
http://www.unh.edu/,366,us,524,285,907,617
http://www.kyushu-u.ac.jp/,367,jp,398,612,1259,242
http://www.tsukuba.ac.jp/,368,jp,653,618,669,315
http://www.uam.es/,369,es,933,653,654,237
http://www.rit.edu/,370,us,568,225,437,971
http://www.stonybrook.edu/,371,us,1758,559,699,197
http://www.uni-ulm.de/,372,de,546,730,680,270
http://www.ccnu.edu.cn/,373,cn,841,75,2694,688
http://www.luc.edu/,374,us,158,494,803,561
http://www.ntnu.edu.tw/,375,tw,146,311,650,939
http://www.uni-saarland.de/,376,de,805,676,335,363
http://www.uib.es/,377,es,1392,201,708,692
http://www.uts.edu.au/,378,au,163,695,492,505
http://www.usherbrooke.ca/,379,ca,376,496,616,535
http://www.aalto.fi/,380,fi,196,1094,252,342
http://www.qmul.ac.uk/,381,uk,1137,631,1043,160
http://www.st-andrews.ac.uk/,382,uk,701,547,877,326
http://www.hfut.edu.cn/,383,cn,829,43,3209,869
http://www.polito.it/,384,it,837,732,227,400
http://www.tums.ac.ir/,385,ir,662,735,104,555
http://www.agh.edu.pl/,386,pl,589,353,408,794
http://www.uclouvain.be/,387,be,1189,862,337,233
http://www.titech.ac.jp/,388,jp,390,986,582,238
http://www.cf.ac.uk/,389,uk,1411,666,955,149
http://www.uni-giessen.de/,390,de,1047,652,490,324
http://www.deakin.edu.au/,391,au,970,673,267,423
http://louisville.edu/,392,us,340,535,1439,337
http://www.unlp.edu.ar/,393,ar,239,1084,24,650
http://www.baylor.edu/,394,us,951,382,425,675
http://www.uab.edu/,395,us,927,490,2367,128
http://www.carleton.ca/,396,ca,1895,402,459,461
http://www.uni-halle.de/,397,de,296,638,750,472
http://www.curtin.edu.au/,398,au,928,759,338,364
http://www.unlv.edu/,399,us,458,491,314,759
http://www.knu.ac.kr/,400,kr,128,421,2256,408
http://www.bath.ac.uk/,401,uk,923,549,690,392
http://www.elte.hu/,402,hu,538,380,730,709
http://www.uwm.edu/,403,us,905,301,1326,537
