"no_ies";"latitude";"longitude";"count"
"FACULDADE EVANGÉLICA";-15.78;-47.93;10
"FACULDADE FERNÃO DIAS";-23.533;-46.792;10
"FACULDADE INTEGRADA BRASIL AMAZONIA - FIBRA";-1.456;-48.504;10
"FACULDADE INTEGRADA DE ENSINO SUPERIOR DE COLINAS";-8.059;-48.475;10
"FACULDADE JOAQUIM NABUCO RECIFE";-8.054;-34.881;10
"FACULDADE LITERATUS";-3.102;-60.025;10
"FACULDADE MARIO SCHENBERG";-23.604;-46.919;10
"FACULDADE MAURÍCIO DE NASSAU DE CAMPINA GRANDE";-7.231;-35.881;10
"FACULDADE NOBRE DE FEIRA DE SANTANA";-12.267;-38.967;10
"FACULDADE NOVOS HORIZONTES";-19.817;-43.956;10
"FACULDADE PAULISTA DE ARTES";-23.548;-46.636;10
"Faculdade Presidente Antônio Carlos de Aimorés";-19.496;-41.064;10
"FACULDADE SÃO JOSÉ";-22.903;-43.208;10
"FACULDADE SÃO MIGUEL";-8.054;-34.881;10
"FACULDADES DE DRACENA";-21.483;-51.533;10
"FACULDADE SENAC PORTO ALEGRE - FSPOA";-30.033;-51.23;10
"FACULDADE SENAI-CETIQT";-22.903;-43.208;10
"FACULDADE SETE DE SETEMBRO";-3.717;-38.543;10
"FACULDADES INTEGRADAS CAMPO-GRANDENSES";-22.903;-43.208;10
"FACULDADES INTEGRADAS DE CIÊNCIAS HUMANAS, SAÚDE E EDUCAÇÃO DE GUARULHOS";-23.463;-46.533;10
"FACULDADES INTEGRADAS DE RIBEIRÃO PIRES";-23.711;-46.413;10
"FACULDADES INTEGRADAS MARIA IMACULADA";-22.372;-46.942;10
"FACULDADES SPEI";-25.428;-49.273;10
"FACULDADE UNA DE CONTAGEM";-19.932;-44.054;10
"FACULDADE UNIDA DE SUZANO";-23.543;-46.311;10
"FACULDADE ZACARIAS DE GÓES";-13.37;-39.073;10
"FAL ESTÁCIO - FACULDADE ESTÁCIO DE NATAL";-5.795;-35.209;10
"INSTITUTO DE CIÊNCIAS DA SAÚDE";-16.735;-43.862;10
"INSTITUTO DE ENSINO E PESQUISA OBJETIVO";-10.167;-48.333;10
"INSTITUTO DE ENSINO SUPERIOR DE BAURU";-22.315;-49.061;10
"INSTITUTO DE ENSINO SUPERIOR DE TERESINA";-5.089;-42.802;10
"INSTITUTO DE ENSINO SUPERIOR E PESQUISA";-20.139;-44.884;10
"INSTITUTO DE ENSINO SUPERIOR SANTO ANDRÉ";-23.664;-46.538;10
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DA BAHIA";-12.971;-38.511;10
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO SUDESTE DE MINAS GERAIS";-21.226;-43.774;10
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA GOIANO";-17.464;-48.203;10
"INSTITUTO MUNICIPAL DE ENSINO SUPERIOR DE ASSIS";-22.662;-50.412;10
"INSTITUTO SUPERIOR DE TEOLOGIA APLICADA";-3.674;-40.239;10
"PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL";-29.755;-57.088;10
"UNIVERSIDADE CÂNDIDO MENDES";-21.754;-41.324;10
"UNIVERSIDADE DO ESTADO DA BAHIA";-14.223;-42.781;10
"UNIVERSIDADE DO ESTADO DA BAHIA";-14.069;-42.475;10
"UNIVERSIDADE DO ESTADO DA BAHIA";-12.528;-40.307;10
"UNIVERSIDADE DO ESTADO DA BAHIA";-11.664;-39.008;10
"UNIVERSIDADE DO ESTADO DA BAHIA";-11.304;-41.856;10
"UNIVERSIDADE DO ESTADO DO AMAZONAS";-3.384;-57.719;10
"UNIVERSIDADE DO ESTADO DO PARÁ";-8.258;-49.265;10
"UNIVERSIDADE DO ESTADO DO PARÁ";-1.884;-48.769;10
"UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE";-6.111;-38.209;10
"UNIVERSIDADE DO GRANDE RIO PROFESSOR JOSÉ DE SOUZA HERDY";-22.903;-43.208;10
"UNIVERSIDADE DO OESTE DE SANTA CATARINA";-27.096;-52.618;10
"UNIVERSIDADE DO VALE DO ITAJAÍ";-27.615;-48.628;10
"UNIVERSIDADE DO VALE DO RIO DOS SINOS";;;10
"UNIVERSIDADE ESTÁCIO DE SÁ";-22.827;-43.054;10
"UNIVERSIDADE ESTÁCIO DE SÁ";-22.804;-43.372;10
"UNIVERSIDADE ESTADUAL DE ALAGOAS - UNEAL";-9.781;-36.094;10
"UNIVERSIDADE ESTADUAL DO MARANHÃO";-3.393;-44.359;10
"UNIVERSIDADE FEDERAL DA BAHIA";;;10
"UNIVERSIDADE FEDERAL DE JUIZ DE FORA";;;10
"UNIVERSIDADE FEDERAL DE MATO GROSSO";-11.864;-55.504;10
"UNIVERSIDADE FEDERAL DE PERNAMBUCO";-8.283;-35.976;10
"UNIVERSIDADE FEDERAL DE SERGIPE";-10.685;-37.425;10
"UNIVERSIDADE FEDERAL DO PARÁ";-2.244;-49.496;10
"UNIVERSIDADE FEDERAL DO PARÁ";-1.063;-46.773;10
"UNIVERSIDADE FEDERAL FLUMINENSE";-21.754;-41.324;10
"UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO";-7.986;-38.296;10
"CENTRO UNIVERSITÁRIO DO LESTE DE MINAS GERAIS";-19.468;-42.537;9
"CENTRO UNIVERSITÁRIO LUSÍADA";-23.961;-46.334;9
"ESCOLA DE MÚSICA E BELAS ARTES DO PARANÁ";-25.428;-49.273;9
"ESCOLA SUPERIOR DE CRICIÚMA - ESUCRI";-28.678;-49.37;9
"FACULDADE ANHANGÜERA DE DOURADOS";-22.221;-54.806;9
"FACULDADE ANHANGUERA DE SUMARÉ";-22.822;-47.267;9
"FACULDADE ARAGUAIA";-16.679;-49.254;9
"FACULDADE DA CIDADE DE SANTA LUZIA";-19.77;-43.851;9
"FACULDADE DE ADMINISTRAÇÃO, CIÊNCIAS, EDUCAÇÃO E LETRAS";-25.428;-49.273;9
"FACULDADE DE CIÊNCIAS ADMINISTRATIVAS E CONTÁBEIS DE ITABIRA";-19.619;-43.227;9
"FACULDADE DE CIÊNCIAS E LETRAS DE BRAGANÇA PAULISTA";-22.952;-46.542;9
"FACULDADE DE CIÊNCIAS SOCIAIS E HUMANAS SOBRAL PINTO";-16.471;-54.636;9
"FACULDADE DE ECONOMIA E FINANÇAS IBMEC";-22.903;-43.208;9
"FACULDADE DE EDUCAÇÃO SÃO FRANCISCO";-4.574;-44.597;9
"FACULDADE DE EDUCAÇÃO SUPERIOR DO PARANÁ";-25.428;-49.273;9
"FACULDADE DE ENSINO SUPERIOR DE SÃO MIGUEL DO IGUAÇU";-25.348;-54.238;9
"FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DE ALEGRE";-20.764;-41.533;9
"FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DE SÃO JOSÉ DO RIO PARDO";-21.596;-46.889;9
"FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS SANTA MARCELINA";-21.131;-42.366;9
"FACULDADE DE FILOSOFIA SANTA DOROTÉIA";-22.282;-42.531;9
"FACULDADE DE GETÚLIO VARGAS";-27.89;-52.228;9
"FACULDADE DE GUANAMBI";-14.223;-42.781;9
"FACULDADE DE PRESIDENTE EPITÁCIO - FAPE";-21.763;-52.116;9
"FACULDADE DE TALENTOS HUMANOS";-19.748;-47.932;9
"FACULDADE DE TECNOLOGIA ANCHIETA";-23.694;-46.565;9
"FACULDADE DE TECNOLOGIA DE OURINHOS";-22.979;-49.871;9
"FACULDADE DE TECNOLOGIA DE SOROCABA";-23.502;-47.458;9
"FACULDADE DE TECNOLOGIA E CIÊNCIAS DE ITABUNA";-14.786;-39.28;9
"FACULDADE DE TECNOLOGIA EM HOTELARIA, GASTRONOMIA E TURISMO DE SÃO PAULO";-23.548;-46.636;9
"FACULDADE DE TECNOLOGIA IBTA CAMPINAS";-22.906;-47.061;9
"FACULDADE DE TECNOLOGIA PROF. LUIZ ROSA";-23.186;-46.884;9
"FACULDADE DE TECNOLOGIA TUPY CURITIBA";-25.428;-49.273;9
"FACULDADE DIADEMA";-23.686;-46.623;9
"FACULDADE DOM BOSCO";-25.428;-49.273;9
"FACULDADE DOM LUIS DE ORLEANS E BRAGANÇA";-10.834;-38.536;9
"FACULDADE DO NORTE PIONEIRO";-23.295;-50.077;9
"FACULDADE DO RECIFE";-8.054;-34.881;9
"Faculdade Estácio Cotia - Estácio FAAC";-23.604;-46.919;9
"Faculdade Estácio de Natal";-5.795;-35.209;9
"FACULDADE ESTÁCIO DE SÁ DE OURINHOS";-22.979;-49.871;9
"FACULDADE ESTADUAL DE CIÊNCIAS ECONÔMICAS DE APUCARANA";-23.551;-51.461;9
"FACULDADE FRASSINETTI DO RECIFE";-8.054;-34.881;9
"FACULDADE INTERLAGOS DE EDUCAÇÃO E CULTURA";-23.548;-46.636;9
"FACULDADE JOSÉ AUGUSTO VIEIRA";-10.917;-37.65;9
"FACULDADE MATER DEI";-26.229;-52.671;9
"FACULDADE METROPOLITANA DE ANÁPOLIS";-16.327;-48.953;9
"FACULDADE METROPOLITANA DE MARINGÁ";-23.425;-51.939;9
"FACULDADE NORTE CAPIXABA DE SAO MATEUS";-18.716;-39.859;9
"FACULDADE PIAUIENSE";-2.905;-41.777;9
"FACULDADE PIO DÉCIMO";-10.911;-37.072;9
"FACULDADE POTIGUAR DA PARAÍBA";-7.115;-34.863;9
"FACULDADE SALESIANA MARIA AUXILIADORA";-22.371;-41.787;9
"FACULDADE SATC";-28.678;-49.37;9
"FACULDADES INTEGRADAS CAMÕES";-25.428;-49.273;9
"FACULDADES INTEGRADAS DE ARACRUZ";-19.82;-40.273;9
"FACULDADES INTEGRADAS DE ARIQUEMES";-9.913;-63.041;9
"FACULDADES INTEGRADAS DE JAHU";-22.296;-48.558;9
"FACULDADES INTEGRADAS IESGO";-15.537;-47.334;9
"FACULDADES VALE DO CARANGOLA - FAVALE";-20.733;-42.029;9
"FACULDADE TRÊS DE MAIO";-27.773;-54.24;9
"FACULDADE UNIÃO DE GOYAZES";-16.649;-49.489;9
"FACULDADE VISCONDE DE CAIRÚ";-12.971;-38.511;9
"FUNDAÇÃO UNIVERSIDADE DO ESTADO DE SANTA CATARINA";-26.304;-48.846;9
"FUNDAÇÃO UNIVERSIDADE FEDERAL DO VALE DO SÃO FRANCISCO";-9.414;-40.503;9
"INSTITUTO DE ENSINO SUPERIOR DE ITAPIRA";-22.436;-46.822;9
"INSTITUTO DE ENSINO SUPERIOR FUCAPI";-3.102;-60.025;9
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO SUL";-29.171;-51.519;9
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO SUL DE MINAS GERAIS";-22.317;-46.328;9
"INSTITUTO SUPERIOR DE ENSINO E PESQUISA DE ITUIUTABA";-18.969;-49.465;9
"INSTITUTO TECNOLÓGICO E DAS CIÊNCIAS SOCIAIS APLICADAS E DA SAÚDE DO CENTRO EDUC. N. SRª AUXILIADORA";-21.754;-41.324;9
"PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ";-23.31;-51.163;9
"UNIÃO DE ESCOLAS SUPERIORES DA FUNESO";-8.009;-34.855;9
"UNIDADE DE ENSINO SUPERIOR DOM BOSCO";-2.53;-44.303;9
"UNIVERSIDADE CÂNDIDO MENDES";-22.282;-42.531;9
"UNIVERSIDADE DA REGIÃO DA CAMPANHA";;;9
"UNIVERSIDADE DA REGIÃO DE JOINVILLE";-26.25;-49.379;9
"UNIVERSIDADE DE BRASÍLIA";;;9
"UNIVERSIDADE DO ESTADO DE MATO GROSSO";-11.864;-55.504;9
"UNIVERSIDADE DO ESTADO DO AMAZONAS";-5.809;-61.3;9
"UNIVERSIDADE DO ESTADO DO AMAZONAS";-4.085;-63.141;9
"UNIVERSIDADE DO ESTADO DO PARÁ";-1.627;-47.483;9
"UNIVERSIDADE DO SUL DE SANTA CATARINA";-27.597;-48.549;9
"UNIVERSIDADE DO VALE DO PARAÍBA";-23.305;-45.966;9
"UNIVERSIDADE ESTÁCIO DE SÁ";-22.716;-43.555;9
"UNIVERSIDADE ESTADUAL DE CIÊNCIAS DA SAÚDE DE ALAGOAS - UNCISAL";-9.666;-35.735;9
"UNIVERSIDADE ESTADUAL DE GOIÁS";-16.679;-49.254;9
"UNIVERSIDADE ESTADUAL DO CEARÁ";-5.146;-38.098;9
"UNIVERSIDADE ESTADUAL DO MARANHÃO";-7.533;-46.036;9
"UNIVERSIDADE ESTADUAL DO MARANHÃO";-5.506;-45.243;9
"UNIVERSIDADE ESTADUAL DO MARANHÃO";-4.947;-47.505;9
"UNIVERSIDADE ESTADUAL DO SUDOESTE DA BAHIA";-15.249;-40.248;9
"UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO";-22.816;-45.193;9
"UNIVERSIDADE FEDERAL DE ITAJUBÁ - UNIFEI";-19.619;-43.227;9
"UNIVERSIDADE FEDERAL DE MATO GROSSO";-15.89;-52.257;9
"UNIVERSIDADE FEDERAL DE OURO PRETO";-20.378;-43.416;9
"UNIVERSIDADE FEDERAL DE SÃO PAULO";-23.686;-46.623;9
"UNIVERSIDADE FEDERAL DE SÃO PAULO";-23.548;-46.636;9
"UNIVERSIDADE FEDERAL DO AMAZONAS";-3.143;-58.444;9
"UNIVERSIDADE FEDERAL DO CEARÁ";;;9
"UNIVERSIDADE FEDERAL DO PARÁ";-3.203;-52.206;9
"UNIVERSIDADE FEDERAL DO PIAUÍ";-7.077;-41.467;9
"UNIVERSIDADE FEDERAL DO RIO GRANDE";;;9
"UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE";;;9
"UNIVERSIDADE FEDERAL DOS VALES DO JEQUITINHONHA E MUCURI";-17.858;-41.505;9
"UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO";;;9
"UNIVERSIDADE PARANAENSE";-24.08;-54.256;9
"UNIVERSIDADE REGIONAL DO NOROESTE DO ESTADO DO RIO GRANDE DO SUL";;;9
"UNIVERSIDADE SALGADO DE OLIVEIRA";-12.971;-38.511;9
"UNIVERSIDADE SANTA ÚRSULA";-22.903;-43.208;9
"CENTRO DE ENSINO SUPERIOR DO VALE SÃO FRANCISCO";-8.758;-38.964;8
"CENTRO TÉCNICO-EDUCACIONAL SUPERIOR DO OESTE PARANAENSE";-24.42;-53.521;8
"CENTRO UNIVERSITÁRIO CHRISTUS";-3.717;-38.543;8
"CENTRO UNIVERSITÁRIO LA SALLE DO RIO DE JANEIRO";-22.883;-43.104;8
"ESCOLA SUPERIOR DE TECNOLOGIA E EDUCAÇÃO DE RIO CLARO";-22.411;-47.561;8
"ESCOLA SUPERIOR SÃO FRANCISCO DE ASSIS";-19.936;-40.6;8
"ESTÁCIO FATERN - FACULDADE ESTÁCIO DO RIO GRANDE DO NORTE";-5.795;-35.209;8
"FACULDADE ALAGOANA DE ADMINISTRAÇÃO";-9.666;-35.735;8
"FACULDADE ANGLO-AMERICANO";-25.548;-54.588;8
"Faculdade Anhanguera de Indaiatuba";-23.09;-47.218;8
"FACULDADE ANHANGUERA DE PASSO FUNDO";-28.263;-52.407;8
"FACULDADE ANHANGUERA DE PELOTAS";-31.772;-52.343;8
"FACULDADE ANHANGÜERA DE RIBEIRÃO PRETO";-21.178;-47.81;8
"FACULDADE ARTHUR SÁ EARP NETO";-22.505;-43.179;8
"FACULDADE AVANTIS";-26.991;-48.635;8
"FACULDADE BATISTA BRASILEIRA";-12.971;-38.511;8
"FACULDADE BIRIGUI";-21.289;-50.34;8
"FACULDADE CASTELO BRANCO";-19.539;-40.631;8
"FACULDADE CEARENSE";-3.717;-38.543;8
"FACULDADE CENECISTA DE BENTO GONÇALVES";-29.171;-51.519;8
"FACULDADE CENTRO PAULISTANO";-23.548;-46.636;8
"FACULDADE DA AMAZÔNIA OCIDENTAL";-9.975;-67.81;8
"FACULDADE DA REGIÃO DOS LAGOS";-22.879;-42.019;8
"FACULDADE DE AMPÉRE";-25.915;-53.473;8
"FACULDADE DE CIÊNCIAS APLICADAS E SOCIAIS DE PETROLINA";-9.393;-40.508;8
"FACULDADE DE CIÊNCIAS DA FUNDAÇÃO INSTITUTO TECNOLÓGICO DE OSASCO";-23.533;-46.792;8
"FACULDADE DE CIÊNCIAS E TECNOLOGIA DO MARANHÃO";-4.859;-43.356;8
"FACULDADE DE CIÊNCIAS EXATAS E TECNOLÓGICAS SANTO AGOSTINHO - FACET";-16.735;-43.862;8
"FACULDADE DE CIÊNCIAS SOCIAIS APLICADAS DE BELO HORIZONTE";-19.817;-43.956;8
"FACULDADE DE CIÊNCIAS SOCIAIS APLICADAS DE SINOP";-11.864;-55.504;8
"FACULDADE DE CIÊNCIAS SOCIAIS APLICADAS - FACISA";-7.231;-35.881;8
"FACULDADE DE EDUCAÇÃO CIÊNCIAS E LETRAS DON DOMÊNICO";-23.993;-46.256;8
"FACULDADE DE ENSINO SUPERIOR DO CENTRO DO PARANÁ";-24.757;-51.761;8
"FACULDADE DE ENSINO SUPERIOR DOM BOSCO";-23.181;-50.647;8
"FACULDADE DE FORMAÇÃO DE PROFESSORES DE ARARIPINA";-7.576;-40.498;8
"FACULDADE DE INFORMÁTICA E ADMINISTRAÇÃO PAULISTA";-23.548;-46.636;8
"FACULDADE DE MEDICINA DO ABC";-23.664;-46.538;8
"FACULDADE DE PRESIDENTE VENCESLAU";-21.876;-51.844;8
"FACULDADE DE SÃO BERNARDO DO CAMPO - FASB";-23.694;-46.565;8
"FACULDADE DE SORRISO";-12.545;-55.711;8
"FACULDADE DE TECNOLOGIA DA PARAÍBA";-6.981;-34.834;8
"FACULDADE DE TECNOLOGIA DE AMERICANA";-22.739;-47.331;8
"FACULDADE DE TECNOLOGIA DE INDAIATUBA";-23.09;-47.218;8
"Faculdade de Tecnologia de São José dos Campos - Jessen Vidal";-23.179;-45.887;8
"FACULDADE DE TECNOLOGIA DO NORDESTE";-3.717;-38.543;8
"FACULDADE DE TECNOLOGIA FAESA";-20.319;-40.338;8
"FACULDADE DE TECNOLOGIA INTENSIVA";-3.717;-38.543;8
"FACULDADE DE TECNOLOGIA SENAC DF";-15.78;-47.93;8
"FACULDADE DE TECNOLOGIA SENAC RIO";-22.903;-43.208;8
"FACULDADE DE TECNOLOGIA THEREZA PORTO MARQUES";-23.305;-45.966;8
"FACULDADE DO GUARUJÁ";-23.993;-46.256;8
"FACULDADE DO MARANHÃO";-2.53;-44.303;8
"FACULDADE DOM BOSCO";-24.956;-53.455;8
"FACULDADE DO NORTE NOVO DE APUCARANA";-23.551;-51.461;8
"FACULDADE DO SUDESTE MINEIRO";-21.764;-43.35;8
"FACULDADE DO VALE DO ITAJAÍ MIRIM";-27.098;-48.918;8
"FACULDADE EDUCACIONAL DE COLOMBO";-25.292;-49.224;8
"FACULDADE EDUCACIONAL DE FRANCISCO BELTRÃO";-26.081;-53.055;8
"FACULDADE ESTÁCIO DE SÁ DE GOIÁS";-16.679;-49.254;8
"FACULDADE ESTÁCIO DE SANTO ANDRÉ";-23.664;-46.538;8
"Faculdade Estácio do Pará - Estácio FAP";-1.456;-48.504;8
"FACULDADE EVANGÉLICA DO PARANÁ";-25.428;-49.273;8
"FACULDADE INTEGRAL DIFERENCIAL";-5.089;-42.802;8
"FACULDADE INTERAÇÃO AMERICANA";-23.694;-46.565;8
"FACULDADE INTERMUNICIPAL DO NOROESTE DO PARANÁ";-22.923;-53.137;8
"FACULDADE JESUS MARIA JOSÉ";-15.78;-47.93;8
"FACULDADE MARIA MILZA";-12.67;-39.102;8
"FACULDADE MAURÍCIO DE NASSAU DE FORTALEZA";-3.717;-38.543;8
"Faculdade Meta";-9.975;-67.81;8
"FACULDADE METODISTA DE SANTA MARIA";-29.684;-53.807;8
"FACULDADE MOZARTEUM DE SÃO PAULO";-23.548;-46.636;8
"FACULDADE NOSSA SENHORA APARECIDA";-16.822;-49.245;8
"FACULDADE POLITEC";-22.754;-47.414;8
"Faculdade Presidente Antônio Carlos de Uberaba";-19.748;-47.932;8
"FACULDADE SANTA IZILDINHA";-23.548;-46.636;8
"FACULDADE SANTA TEREZINHA";-15.78;-47.93;8
"FACULDADE SANTA TEREZINHA";-2.53;-44.303;8
"FACULDADE SÃO SEBASTIÃO";-23.76;-45.41;8
"FACULDADES ASSOCIADAS DE UBERABA - FAZU";-19.748;-47.932;8
"FACULDADES INTEGRADAS DE JACAREPAGUÁ";-22.903;-43.208;8
"FACULDADES INTEGRADAS HÉLIO ALONSO";-22.903;-43.208;8
"FACULDADES INTEGRADAS PADRE ALBINO";-21.138;-48.973;8
"FACULDADES INTEGRADAS REGIONAIS DE AVARÉ";-23.099;-48.926;8
"FACULDADES INTEGRADAS RUI BARBOSA";-20.896;-51.379;8
"FACULDADE UNIGRAN CAPITAL";-20.443;-54.646;8
"FACULDADE UNIME DE CIÊNCIAS SOCIAIS";-12.894;-38.327;8
"FACULDADE VÉRTICE";-20.284;-42.341;8
"INSTITUTO DE EDUCAÇÃO SUPERIOR RAIMUNDO SÁ";-7.077;-41.467;8
"INSTITUTO DE ENSINO SUPERIOR DA GRANDE FLORIANÓPOLIS";-27.615;-48.628;8
"INSTITUTO DE ENSINO SUPERIOR DE FOZ DO IGUAÇU";-25.548;-54.588;8
"INSTITUTO DE ENSINO SUPERIOR DE RIO VERDE";-17.798;-50.928;8
"INSTITUTO DE ENSINO SUPERIOR DO AMAPÁ";0.039;-51.066;8
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE RORAIMA";2.82;-60.673;8
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO CEARÁ";-5.146;-38.098;8
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO NORTE DE MINAS GERAIS";-16.17;-42.29;8
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO NORTE DE MINAS GERAIS";-15.488;-44.362;8
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PARÁ";-3.768;-49.673;8
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PARÁ";-1.063;-46.773;8
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PARÁ";;;8
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO DE JANEIRO";-22.808;-43.414;8
"Instituto Federal de Educação, Ciência e Tecnologia do Sertão Pernambucano";-9.393;-40.508;8
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO SUDESTE DE MINAS GERAIS";-21.275;-43.179;8
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO TOCANTINS";-10.167;-48.333;8
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA  DO TRIÂNGULO MINEIRO";-19.748;-47.932;8
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA FARROUPILHA";-29.783;-55.792;8
"INSTITUTO MACAPAENSE DE ENSINO SUPERIOR";0.039;-51.066;8
"INSTITUTO SUPERIOR DE EDUCAÇÃO ELVIRA DAYRELL";-18.823;-42.704;8
"INSTITUTO SUPERIOR DE EDUCAÇÃO NOSSA SENHORA DE LOURDES";-16.45;-39.065;8
"PONTIFÍCIA UNIVERSIDADE CATÓLICA DE MINAS GERAIS";-19.932;-44.054;8
"UNIÃO DAS ESCOLAS DO GRUPO FAIMI DE EDUCAÇÃO";-20.819;-49.521;8
"UNIVERSIDADE DE CAXIAS DO SUL";-29.225;-51.348;8
"UNIVERSIDADE DE PASSO FUNDO";-28.818;-52.51;8
"UNIVERSIDADE DE PASSO FUNDO";-28.561;-51.978;8
"UNIVERSIDADE DE PASSO FUNDO";-27.899;-53.314;8
"UNIVERSIDADE DE SÃO PAULO";-22.725;-47.649;8
"UNIVERSIDADE DO ESTADO DE MINAS GERAIS";-20.025;-48.941;8
"UNIVERSIDADE DO ESTADO DO AMAZONAS";-7.506;-63.021;8
"UNIVERSIDADE DO ESTADO DO AMAZONAS";-7.259;-64.798;8
"UNIVERSIDADE DO ESTADO DO AMAZONAS";-4.883;-66.896;8
"UNIVERSIDADE DO ESTADO DO PARÁ";-8.029;-50.031;8
"UNIVERSIDADE DO OESTE DE SANTA CATARINA";-27.344;-51.612;8
"UNIVERSIDADE DO TOCANTINS";;;8
"UNIVERSIDADE DO VALE DO ITAJAÍ";;;8
"UNIVERSIDADE ESTADUAL DE GOIÁS";-14.093;-46.369;8
"UNIVERSIDADE ESTADUAL DE MARINGÁ";-23.766;-53.325;8
"UNIVERSIDADE ESTADUAL DO CEARÁ";-4.971;-39.015;8
"UNIVERSIDADE ESTADUAL DO CEARÁ";;;8
"UNIVERSIDADE ESTADUAL DO MARANHÃO";-5.819;-46.139;8
"Universidade Estadual do Norte do Paraná";-23.181;-50.647;8
"UNIVERSIDADE ESTADUAL DO PIAUÍ";-4.273;-41.777;8
"UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO";-20.433;-51.343;8
"UNIVERSIDADE FEDERAL DA FRONTEIRA SUL";-27.634;-52.274;8
"UNIVERSIDADE FEDERAL DA PARAÍBA";-6.803;-35.081;8
"UNIVERSIDADE FEDERAL DE SANTA MARIA";-27.359;-53.394;8
"UNIVERSIDADE FEDERAL DE SÃO CARLOS";-22.357;-47.384;8
"UNIVERSIDADE FEDERAL DE SÃO PAULO";-23.533;-46.792;8
"UNIVERSIDADE FEDERAL DE SERGIPE";-10.917;-37.65;8
"UNIVERSIDADE FEDERAL DE SERGIPE";;;8
"UNIVERSIDADE FEDERAL DO CEARÁ";-3.674;-40.239;8
"UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO";;;8
"UNIVERSIDADE FEDERAL DO MARANHÃO";-5.526;-47.476;8
"UNIVERSIDADE FEDERAL DO MARANHÃO";;;8
"UNIVERSIDADE FEDERAL DO RECÔNCAVO DA BAHIA";-12.618;-38.956;8
"UNIVERSIDADE FEDERAL DO RIO DE JANEIRO";-22.371;-41.787;8
"UNIVERSIDADE FEDERAL FLUMINENSE";-22.527;-41.945;8
"UNIVERSIDADE FEDERAL RURAL DA AMAZÔNIA";-1.456;-48.504;8
"UNIVERSIDADE JOSÉ DO ROSÁRIO VELLANO";-19.817;-43.956;8
"UNIVERSIDADE LUTERANA DO BRASIL";-29.684;-53.807;8
"UNIVERSIDADE PARANAENSE";-23.073;-52.465;8
"UNIVERSIDADE REGIONAL INTEGRADA DO ALTO URUGUAI E DAS MISSÕES";-28.408;-54.961;8
"UNIVERSIDADE SALVADOR";-12.267;-38.967;8
"Centro de Educação Superior Única";-27.597;-48.549;7
"CENTRO DE ENSINO SUPERIOR CENECISTA DE FARROUPILHA";-29.225;-51.348;7
"CENTRO UNIVERSITÁRIO DE CARATINGA";-17.839;-40.354;7
"CENTRO UNIVERSITÁRIO FECAP";-23.548;-46.636;7
"ESCOLA BAHIANA DE MEDICINA E SAÚDE PÚBLICA";-12.971;-38.511;7
"ESCOLA DE ENGENHARIA DE PIRACICABA";-22.725;-47.649;7
"FACULDADE AMÉRICA LATINA";-29.168;-51.179;7
"FACULDADE ANGLO-AMERICANO DE BAGÉ";-31.331;-54.107;7
"FACULDADE ANHANGUERA DE ITAPECERICA DA SERRA";-23.717;-46.849;7
"FACULDADE ANHANGUERA DE VALINHOS";-22.971;-46.996;7
