Id;Label;rank;Modularity Class;City;State;Country;Latitude;Longitude;In-Degree;Out-Degree;Degree;Weighted Degree;Weighted In-Degree;Weighted Out-Degree
4845;bahia blanca;;city;bahia blanca;buenos aires;argentina;-3.871.959;-6.227.243;0;0;0;0.0;0.0;0.0
4863;venado tuerto;;city;venado tuerto;santa fe;argentina;-3.374.556;-6.196.885;0;0;0;0.0;0.0;0.0
5196;quilmes;;city;quilmes;buenos aires;argentina;-3.472.418;-5.825.265;0;0;0;0.0;0.0;0.0
5283;rufino;;city;rufino;santa fe;argentina;-3.426.827;-6.271.262;0;0;0;0.0;0.0;0.0
5314;posadas;;city;posadas;misiones;argentina;-2.736.708;-5.589.608;0;0;0;0.0;0.0;0.0
5483;bell ville;;city;bell ville;cÃ_rdoba;argentina;-3.262.591;-6.268.873;0;0;0;0.0;0.0;0.0
5636;jardin america;;city;jardin america;misiones;argentina;-2.704.346;-5.522.698;0;0;0;0.0;0.0;0.0
5641;coronda;;city;coronda;santa fe;argentina;-3.197.263;-6.091.983;0;0;0;0.0;0.0;0.0
5686;caleta olivia;;city;caleta olivia;santa cruz;argentina;-4.643.929;-6.752.814;0;0;0;0.0;0.0;0.0
5722;tres arroyos;;city;tres arroyos;buenos aires;argentina;-3.837.394;-6.027.978;0;0;0;0.0;0.0;0.0
5808;avellaneda;;city;avellaneda;santa fe;argentina;-2.911.761;-5.965.834;0;0;0;0.0;0.0;0.0
5945;villa regina;;city;villa regina;rÃ_o negro;argentina;-39.1;-6.706.667;0;0;0;0.0;0.0;0.0
5962;rio cuarto;;city;rio cuarto;cÃ_rdoba;argentina;-3.313.067;-6.434.992;0;0;0;0.0;0.0;0.0
5968;esperanza;;city;esperanza;santa fe;argentina;-314.488;-6.093.173;0;0;0;0.0;0.0;0.0
6020;necochea;;city;necochea;buenos aires;argentina;-3.854.726;-5.873.675;0;0;0;0.0;0.0;0.0
6041;azul;;city;azul;buenos aires;argentina;-3.677.698;-5.985.854;0;0;0;0.0;0.0;0.0
6066;zarate;;city;zarate;buenos aires;argentina;-3.409.814;-5.902.858;0;0;0;0.0;0.0;0.0
6090;coronel suarez;;city;coronel suarez;buenos aires;argentina;-3.745.467;-6.193.343;0;0;0;0.0;0.0;0.0
6302;concepcion del uruguay;;city;concepcion del uruguay;entre rÃ_os;argentina;-3.248.249;-5.823.722;0;0;0;0.0;0.0;0.0
6322;general pico;;city;general pico;la pampa;argentina;-3.565.662;-6.375.682;0;0;0;0.0;0.0;0.0
6387;la rioja;;city;la rioja;la rioja;argentina;-2.941.105;-6.685.067;0;0;0;0.0;0.0;0.0
6478;nueve de julio;;city;nueve de julio;buenos aires;argentina;-3.544.437;-6.088.313;0;0;0;0.0;0.0;0.0
6483;obera;;city;obera;misiones;argentina;-2.748.706;-5.511.994;0;0;0;0.0;0.0;0.0
6491;san isidro;;city;san isidro;buenos aires;argentina;-3.447.145;-5.850.776;0;0;0;0.0;0.0;0.0
6569;tartagal;;city;tartagal;salta;argentina;-2.251.637;-6.380.131;0;0;0;0.0;0.0;0.0
6609;parana;;city;parana;entre rÃ_os;argentina;-3.173.197;-605.238;0;0;0;0.0;0.0;0.0
6717;galvez;;city;galvez;santa fe;argentina;-3.202.927;-6.122.103;0;0;0;0.0;0.0;0.0
6787;san carlos de bariloche;;city;san carlos de bariloche;rÃ_o negro;argentina;-4.114.557;-7.130.822;0;0;0;0.0;0.0;0.0
6898;casilda;;city;casilda;santa fe;argentina;-3.304.417;-6.116.806;0;0;0;0.0;0.0;0.0
6901;moron;;city;moron;buenos aires;argentina;-3.465.344;-5.861.975;0;0;0;0.0;0.0;0.0
6941;san antonio oeste;;city;san antonio oeste;rÃ_o negro;argentina;-4.073.193;-6.494.769;0;0;0;0.0;0.0;0.0
7003;formosa;;city;formosa;formosa;argentina;-2.617.753;-5.817.814;0;0;0;0.0;0.0;0.0
7042;alta gracia;;city;alta gracia;cÃ_rdoba;argentina;-3.165.292;-6.442.826;0;0;0;0.0;0.0;0.0
7152;gualeguaychu;;city;gualeguaychu;entre rÃ_os;argentina;-3.300.937;-5.851.722;0;0;0;0.0;0.0;0.0
7258;punta alta;;city;punta alta;buenos aires;argentina;-3.887.588;-6.207.359;0;0;0;0.0;0.0;0.0
7265;rio gallegos;;city;rio gallegos;santa cruz;argentina;-5.162.261;-6.921.813;0;0;0;0.0;0.0;0.0
7292;chajari;;city;chajari;entre rÃ_os;argentina;-3.075.048;-5.797.962;0;0;0;0.0;0.0;0.0
7533;granadero baigorria;;city;granadero baigorria;santa fe;argentina;-3.285.683;-6.071.754;0;0;0;0.0;0.0;0.0
7550;trelew;;city;trelew;chubut;argentina;-4.324.895;-6.530.505;0;0;0;0.0;0.0;0.0
7555;machagai;;city;machagai;chaco;argentina;-2.692.614;-6.004.955;0;0;0;0.0;0.0;0.0
7704;presidencia roque saenz pena;;city;presidencia roque saenz pena;chaco;argentina;-2.678.522;-6.043.876;0;0;0;0.0;0.0;0.0
7780;san lorenzo;;city;san lorenzo;corrientes;argentina;-2.813.306;-5.876.733;0;0;0;0.0;0.0;0.0
7821;general roca;;city;general roca;rÃ_o negro;argentina;-3.903.333;-6.758.333;0;0;0;0.0;0.0;0.0
8070;universidad nacional de cordoba argentina;;instituition;cordoba;cÃ_rdoba;argentina;-314.135;-6.418.105;0;0;0;0.0;0.0;0.0
8166;universidad nacional de la plata;;instituition;la plata;buenos aires;argentina;-3.492.145;-5.795.453;0;0;0;0.0;0.0;0.0
8179;fundacao hospitalar do distrito federal;;instituition;buenos aires;buenos aires f.d.;argentina;-3.461.315;-5.837.723;0;0;0;0.0;0.0;0.0
8472;universidad nacional del litoral;;instituition;santa fe de la vera cruz;santa fe;argentina;-3.163.333;-60.7;0;0;0;0.0;0.0;0.0
8473;universidad nacional de rosario;;instituition;santa fe de la vera cruz;santa fe;argentina;-3.163.333;-60.7;0;0;0;0.0;0.0;0.0
5595;yerevan;;city;yerevan;yerevan;armenia;4.018.111;4.451.361;0;0;0;0.0;0.0;0.0
920;the university of sydney;;instituition;sydney;new south wales;australia;-3.386.785;15.120.732;0;0;0;0.0;0.0;0.0
965;the university of queensland;;instituition;brisbane;queensland;australia;-2.746.794;15.302.809;0;0;0;0.0;0.0;0.0
1150;australian national university;;instituition;melbourne;victoria;australia;-37.814;14.496.332;0;0;0;0.0;0.0;0.0
1508;the university of queensland;;instituition;brisbane;queensland;australia;-2.746.794;15.302.809;0;0;0;0.0;0.0;0.0
1785;australian national university;;instituition;melbourne;victoria;australia;-37.814;14.496.332;0;0;0;0.0;0.0;0.0
1924;the university of sydney;;instituition;sydney;new south wales;australia;-3.386.785;15.120.732;0;0;0;0.0;0.0;0.0
3868;adelaide;;city;adelaide;south australia;australia;-3.492.866;13.859.863;0;0;0;0.0;0.0;0.0
3902;brisbane;;city;brisbane;queensland;australia;-2.746.794;15.302.809;0;0;0;0.0;0.0;0.0
3959;canberra;;city;canberra;australian capital territory;australia;-3.528.346;14.912.807;0;0;0;0.0;0.0;0.0
4837;melbourne;;city;melbourne;victoria;australia;-37.814;14.496.332;0;0;0;0.0;0.0;0.0
5201;sydney;;city;sydney;new south wales;australia;-3.386.785;15.120.732;0;0;0;0.0;0.0;0.0
