"id";"name";"country";"flow_weighted";"flow";"distance";"avg";"distances_weigthed";"avg"
"1148";"kansas state university";"united states";"48";"22";"150371350";"6835061,3982783565";"299043353";"6230069,86075623"
"901";"the state university of new jersey new brunswick";"united states";"48";"24";"139846208";"5826925,347981387";"317019126";"6604565,145206942"
"617";"imperial college london";"united kingdom";"49";"28";"159820172";"5707863,301242583";"309813959";"6322733,873234533"
"1037";"universidad del pais vasco";"spain";"49";"31";"187237664";"6039924,646383251";"236646348";"4829517,306845603"
"661";"instituto superior tecnico";"portugal";"50";"21";"110733164";"5273007,834620193";"199236967";"3984739,3583144653"
"1073";"university of kansas";"united states";"50";"21";"145282671";"6918222,443054659";"308591642";"6171832,841563812"
"7964";"university of victoria";"canada";"50";"22";"191829321";"8719514,618469212";"466466205";"9329324,106060665"
"956";"emory university";"united states";"50";"26";"165981435";"6383901,380594684";"286256422";"5725128,442525547"
"898";"university of notre dame";"united states";"50";"27";"195557909";"7242885,540806702";"370105635";"7402112,715565467"
"1001";"national institute of health";"united states";"51";"19";"133058349";"7003071,027121193";"376934286";"7390868,35962054"
"904";"universite de toulouse iii paul sabatier";"france";"51";"20";"135098222";"6754911,127818989";"208075309";"4079908,0204705317"
"562";"universidad nacional de rosario";"argentina";"51";"23";"36951368";"1606581,257717094";"46490074";"911570,080646029"
"586";"pontificia universidade lateranense";"italy";"51";"23";"186420470";"8105237,838880904";"231975807";"4548545,236903043"
"516";"universidade de paris i pantheon sorbonne";"france";"51";"28";"204049419";"7287479,256051613";"335084760";"6570289,421448111"
"826";"politecnico di torino";"italy";"51";"28";"231184990";"8256606,81992923";"370169587";"7258227,213269441"
"973";"universidad de oviedo";"spain";"51";"29";"188092598";"6485951,663756796";"287181556";"5631010,918413535"
"582";"fundacao hospitalar do distrito federal";"argentina";"52";"18";"45724126";"2540229,257868856";"134928010";"2594769,424404761"
"1144";"university of st andrews";"united kingdom";"52";"20";"132041581";"6602079,058877885";"378923904";"7286998,166234855"
"998";"universidade do algarve";"portugal";"52";"28";"158008107";"5643146,694814824";"313486464";"6028585,863174781"
"1002";"universite de tours universite francois rabelais";"france";"52";"29";"200543209";"6915283,073296887";"311689634";"5994031,42925494"
"1028";"universidad de castilla la mancha";"spain";"52";"33";"246322673";"7464323,427922295";"313661300";"6031948,084511815"
"524";"institut pasteur";"france";"53";"28";"195153964";"6969784,438293572";"418746431";"7900876,065803122"
"789";"georgetown university";"united states";"53";"28";"175928666";"6283166,675899357";"341771725";"6448523,131781327"
"947";"gottfried wilhelm leibniz universitat hannover";"germany";"53";"29";"240169148";"8281694,78600187";"421236839";"7947864,901082062"
"584";"universita degli studi di roma tor vergata";"italy";"53";"29";"212087183";"7313351,168124732";"333603711";"6294409,649287353"
"615";"imperial college london south kensington campus";"united kingdom";"53";"31";"207070689";"6679699,660719253";"395802106";"7467964,265212454"
"850";"universidad de cadiz";"spain";"54";"24";"135534562";"5647273,454558614";"203174627";"3762493,100233809"
"820";"university system of maryland";"united states";"54";"25";"148334163";"5933366,552191298";"348529764";"6454254,898650991"
"1125";"rheinische friedrich wilhelms universitat bonn";"germany";"54";"27";"199706844";"7396549,802407062";"323107578";"5983473,6693241075"
"748";"universidad de navarra";"spain";"54";"27";"206203747";"7637175,83578279";"336217892";"6226257,26548542"
"1127";"the university of western ontario";"canada";"54";"32";"232306050";"7259564,088910799";"403032890";"7463572,04789416"
"888";"universite bordeaux 1 sciences et technologies";"france";"55";"18";"143005141";"7944730,060256034";"374273399";"6804970,8994594235"
"758";"universitat erlangen nurnberg friedrich alexander";"germany";"55";"22";"176254262";"8011557,371230357";"391004339";"7109169,806621115"
