Source,Target,Kind,Type,Id,Label,Weight,distance
47,950,degree,Directed,67436,,1,9520537.656686429
47,599,degree,Directed,67437,,3,8409890.034802714
47,477,degree,Directed,67443,,1,7694022.784231596
48,542,degree,Directed,67452,,2,8806503.888398755
1000,1028,degree,Directed,67458,,1,9141399.6592446
651,827,degree,Directed,67469,,1,9637250.425352842
48,1051,degree,Directed,67477,,7,6891543.804125441
49,883,degree,Directed,67484,,1,6573680.322961275
54,546,degree,Directed,67527,,1,9689754.30113189
629,1099,degree,Directed,67544,,1,6096468.165172271
57,997,degree,Directed,67546,,1,6466726.044080214
61,678,degree,Directed,67568,,2,7045876.682435987
159,967,degree,Directed,67572,,5,8256082.939645906
728,743,degree,Directed,67575,,1,9362517.826559722
65,650,degree,Directed,67577,,1,8606573.8908744
432,481,degree,Directed,67583,,4,6802528.401215278
74,518,degree,Directed,67642,,1,9411895.135853764
88,1013,degree,Directed,67647,,1,9379481.697056457
77,354,degree,Directed,67648,,1,7757620.623248219
79,817,degree,Directed,67654,,1,8337524.518154365
84,4,degree,Directed,67685,,2,8248303.9725138
85,1100,degree,Directed,67687,,1,7642859.476453498
749,668,degree,Directed,67705,,1,6871763.7389967255
572,89,degree,Directed,67707,,1,7209344.144268116
458,678,degree,Directed,67709,,32,7417312.47117169
792,804,degree,Directed,67713,,1,10957907.111256033
283,834,degree,Directed,67715,,1,8487574.223740114
92,687,degree,Directed,67733,,2,8611983.233719693
244,659,degree,Directed,67784,,8,7718092.506969016
763,790,degree,Directed,67802,,1,7656669.772596535
627,89,degree,Directed,67806,,2,7689981.884377549
118,520,degree,Directed,67810,,1,9411895.135853764
418,1086,degree,Directed,67839,,11,9425248.83891963
138,568,degree,Directed,67857,,1,6475916.677535566
155,612,degree,Directed,67875,,1,2658885.404927688
763,819,degree,Directed,67880,,1,10132506.055914618
422,476,degree,Directed,67908,,1,7611523.321188363
159,608,degree,Directed,67911,,27,7975594.051832963
159,659,degree,Directed,67914,,25,7725037.139572662
159,523,degree,Directed,67919,,3,9178592.599910362
362,659,degree,Directed,67922,,2,6514635.134173739
159,1045,degree,Directed,67934,,6,9343992.543670774
159,521,degree,Directed,67942,,18,9178592.599910362
159,354,degree,Directed,67946,,21,7811980.407877221
159,1008,degree,Directed,67951,,15,9174916.496380746
159,771,degree,Directed,67953,,8,8775676.492942525
315,599,degree,Directed,67958,,1,8460503.918658929
159,599,degree,Directed,67960,,16,8533884.93985182
159,650,degree,Directed,67964,,7,8741527.168024791
172,650,degree,Directed,67966,,2,8741527.168024791
192,662,degree,Directed,67970,,1,7725037.139572662
159,758,degree,Directed,67984,,4,9681610.142564163
159,611,degree,Directed,67985,,1,10652947.515401596
159,617,degree,Directed,67996,,4,9289162.597145958
159,871,degree,Directed,67999,,10,8555034.201728156
159,663,degree,Directed,68002,,30,7725037.139572662
159,791,degree,Directed,68015,,14,8249600.379104491
159,632,degree,Directed,68024,,4,9592976.560900453
192,914,degree,Directed,68025,,1,6721366.641869298
159,914,degree,Directed,68027,,12,6721366.641869298
159,715,degree,Directed,68037,,8,10838704.683189172
159,537,degree,Directed,68038,,15,8550126.162427934
159,802,degree,Directed,68040,,17,10602628.742682403
166,518,degree,Directed,68043,,10,9178592.599910362
549,583,degree,Directed,68056,,1,9120315.921359349
378,851,degree,Directed,68058,,11,9177808.615364663
159,964,degree,Directed,68071,,5,9598050.244243555
159,616,degree,Directed,68075,,6,9289162.597145958
159,1039,degree,Directed,68078,,9,9400450.248519657
159,834,degree,Directed,68093,,8,8556761.264664946
159,518,degree,Directed,68108,,19,9178592.599910362
159,789,degree,Directed,68111,,2,7729891.053793097
159,963,degree,Directed,68113,,5,10021616.942930859
392,522,degree,Directed,68116,,1,8914007.094252855
159,614,degree,Directed,68133,,20,9289162.597145958
432,476,degree,Directed,68137,,2,6746551.6940987855
159,743,degree,Directed,68139,,12,10010050.355829302
159,1046,degree,Directed,68140,,3,9212189.987886816
159,869,degree,Directed,68155,,18,11234706.310156565
159,613,degree,Directed,68173,,70,9289162.597145958
361,659,degree,Directed,68175,,6,6514635.134173739
159,554,degree,Directed,68184,,14,9167232.950540444
159,517,degree,Directed,68200,,45,9178592.599910362
159,474,degree,Directed,68201,,12,10151701.976237694
159,1037,degree,Directed,68203,,3,8443235.58825009
179,890,degree,Directed,68208,,4,8376784.256441143
159,527,degree,Directed,68210,,19,9178592.599910362
159,657,degree,Directed,68215,,4,9272041.569479944
159,865,degree,Directed,68218,,14,7769239.427212666
164,562,degree,Directed,68223,,1,1981124.7013057165
159,543,degree,Directed,68224,,34,10633491.972729929
159,940,degree,Directed,68232,,10,9618416.18073681
159,790,degree,Directed,68234,,5,7729891.053793097
159,960,degree,Directed,68239,,12,9298173.294319544
244,812,degree,Directed,68240,,2,9432654.968857754
159,1058,degree,Directed,68248,,11,8990148.968142083
159,477,degree,Directed,68251,,26,7766005.44433168
166,1029,degree,Directed,68252,,10,9229978.711766353
209,89,degree,Directed,68254,,3,9359238.651899671
159,882,degree,Directed,68255,,5,9428203.225093644
283,524,degree,Directed,68256,,3,9727787.346207654
209,916,degree,Directed,68259,,1,8305119.07495424
159,493,degree,Directed,68261,,14,7778689.839712307
847,888,degree,Directed,68264,,3,10018688.935797641
159,817,degree,Directed,68266,,10,8444197.093737274
159,950,degree,Directed,68268,,7,9307755.25396086
159,815,degree,Directed,68277,,8,7522318.908083356
159,955,degree,Directed,68281,,4,9336747.689716892
159,979,degree,Directed,68283,,8,10237591.524194468
206,482,degree,Directed,68288,,2,10021828.859492457
159,837,degree,Directed,68291,,21,9372590.093225708
159,618,degree,Directed,68297,,12,9289162.597145958
570,862,degree,Directed,68299,,2,7307648.6876354655
244,482,degree,Directed,68300,,2,10014495.534501642
159,843,degree,Directed,68302,,3,8139578.400244384
418,869,degree,Directed,68309,,14,10979021.181444768
847,354,degree,Directed,68312,,1,8508322.707491182
159,475,degree,Directed,68315,,13,10151701.976237694
159,1096,degree,Directed,68317,,21,9180848.531325975
458,517,degree,Directed,68324,,13,10265542.070083896
159,947,degree,Directed,68327,,2,9822801.465634381
159,558,degree,Directed,68328,,5,8150095.4048819505
555,1129,degree,Directed,68329,,2,9465348.856653271
159,1027,degree,Directed,68333,,3,9498642.104112519
159,891,degree,Directed,68335,,2,8251614.694057174
159,3,degree,Directed,68342,,15,7743381.484152663
159,851,degree,Directed,68344,,8,9430987.878924906
244,983,degree,Directed,68345,,2,9522829.488272889
159,687,degree,Directed,68346,,12,8734338.041434076
619,659,degree,Directed,68348,,3,7449411.05379227
159,824,degree,Directed,68355,,10,8314498.60470814
131,956,degree,Directed,68359,,1,7527591.851737761
458,942,degree,Directed,68362,,1,10741717.036523465
418,613,degree,Directed,68375,,40,9464228.790679993
418,871,degree,Directed,68379,,9,8350771.3606191315
166,560,degree,Directed,68380,,1,8150095.4048819505
166,89,degree,Directed,68381,,8,9359238.651899671
168,902,degree,Directed,68383,,2,8694593.853704488
163,659,degree,Directed,68407,,1,7725037.139572662
166,802,degree,Directed,68409,,6,10602628.742682403
378,613,degree,Directed,68422,,31,9012867.036163876
164,613,degree,Directed,68428,,2,9289162.597145958
