"Source";"Target";"Kind";"Type";"Id";"Label";"Weight";"distance"
"14";"315";"degree";"Directed";"64775";"";"14";"496011,08177523455"
"315";"2";"degree";"Directed";"64776";"";"26";"1162936,130890679"
"589";"166";"degree";"Directed";"64777";"";"11";"1578695,9686507303"
"2";"678";"degree";"Directed";"64778";"";"4";"7317268,011039223"
"290";"287";"degree";"Directed";"64779";"";"171";"0,0"
"287";"1000";"degree";"Directed";"64780";"";"1";"448301,46875892277"
"1000";"458";"degree";"Directed";"64781";"";"16";"431037,25278978667"
"5";"5";"degree";"Directed";"64782";"";"8";"0,0"
"297";"297";"degree";"Directed";"64783";"";"44";"0,0"
"766";"302";"degree";"Directed";"64784";"";"1";"96871,96972477961"
"302";"290";"degree";"Directed";"64785";"";"2";"0,0"
"766";"350";"degree";"Directed";"64786";"";"2";"528337,8880438604"
"348";"347";"degree";"Directed";"64787";"";"13";"0,0"
"347";"2";"degree";"Directed";"64788";"";"35";"592031,6804748311"
"2";"686";"degree";"Directed";"64789";"";"10";"8490651,793028701"
"880";"861";"degree";"Directed";"64790";"";"1";"159644,0143675526"
"861";"8";"degree";"Directed";"64791";"";"7";"176820,5221163721"
"684";"592";"degree";"Directed";"64792";"";"1";"197328,34039368262"
"592";"2";"degree";"Directed";"64793";"";"39";"954370,4282860408"
"488";"885";"degree";"Directed";"64794";"";"25";"144652,51998607622"
"2";"717";"degree";"Directed";"64795";"";"31";"575841,2176538687"
"992";"2";"degree";"Directed";"64796";"";"1";"8883354,007107314"
"34";"2";"degree";"Directed";"64797";"";"5";"489931,98240375536"
"8";"571";"degree";"Directed";"64798";"";"2";"2862871,544423393"
"571";"2";"degree";"Directed";"64799";"";"10";"2862871,544423393"
"2";"1144";"degree";"Directed";"64800";"";"1";"10291871,5360161"
"2";"527";"degree";"Directed";"64801";"";"11";"9897941,370581282"
"527";"2";"degree";"Directed";"64802";"";"8";"9897941,370581282"
"619";"323";"degree";"Directed";"64803";"";"364";"173322,815870739"
"2";"298";"degree";"Directed";"64804";"";"1";"251990,60245042332"
"298";"2";"degree";"Directed";"64805";"";"2";"251990,60245042332"
"2";"570";"degree";"Directed";"64806";"";"14";"2862871,544423393"
"2";"432";"degree";"Directed";"64807";"";"41";"2608299,8781425413"
"432";"166";"degree";"Directed";"64808";"";"66";"1877445,0888325565"
"2";"159";"degree";"Directed";"64809";"";"181";"749606,3361527188"
"2";"612";"degree";"Directed";"64810";"";"1";"2293601,5250751465"
"458";"659";"degree";"Directed";"64811";"";"16";"8811341,304045709"
"2";"166";"degree";"Directed";"64812";"";"39";"749606,3361527188"
"166";"159";"degree";"Directed";"64813";"";"922";"0,0"
"2";"464";"degree";"Directed";"64814";"";"87";"376685,7436561459"
"2";"847";"degree";"Directed";"64815";"";"24";"601254,7012166727"
"2";"899";"degree";"Directed";"64816";"";"11";"144829,54440303062"
"2";"323";"degree";"Directed";"64817";"";"90";"1317012,2300596"
"323";"323";"degree";"Directed";"64818";"";"4099";"0,0"
"323";"172";"degree";"Directed";"64819";"";"32";"935033,1584330103"
"418";"18";"degree";"Directed";"64820";"";"1831";"83652,2860834619"
"27";"475";"degree";"Directed";"64821";"";"2";"9917086,70177506"
"475";"541";"degree";"Directed";"64822";"";"1";"9663661,368077409"
"505";"496";"degree";"Directed";"64823";"";"3";"0,0"
"496";"418";"degree";"Directed";"64824";"";"4";"207303,12325908808"
"2";"825";"degree";"Directed";"64825";"";"5";"9560759,710010612"
"825";"18";"degree";"Directed";"64826";"";"6";"9080945,14942806"
"18";"869";"degree";"Directed";"64827";"";"33";"11061726,606066758"
"549";"378";"degree";"Directed";"64828";"";"230";"225727,15847252798"
"378";"206";"degree";"Directed";"64829";"";"9";"352172,94434911764"
"206";"539";"degree";"Directed";"64830";"";"1";"8550126,162427934"
"2";"1055";"degree";"Directed";"64831";"";"6";"10083319,734477233"
"1055";"1055";"degree";"Directed";"64832";"";"11";"0,0"
"1055";"2";"degree";"Directed";"64833";"";"1";"10083319,734477233"
"2";"824";"degree";"Directed";"64834";"";"13";"8558362,976282964"
"159";"260";"degree";"Directed";"64835";"";"98";"604989,9814254801"
"2";"812";"degree";"Directed";"64836";"";"3";"10157353,93090688"
"812";"165";"degree";"Directed";"64837";"";"1";"9439608,764317846"
"2";"905";"degree";"Directed";"64838";"";"3";"10248692,355244802"
"905";"159";"degree";"Directed";"64839";"";"1";"9534039,847522592"
"458";"323";"degree";"Directed";"64840";"";"120";"1622038,5842791672"
"260";"260";"degree";"Directed";"64841";"";"12227";"0,0"
"2";"191";"degree";"Directed";"64842";"";"1";"749606,3361527188"
"191";"2";"degree";"Directed";"64843";"";"4";"749606,3361527188"
"2";"771";"degree";"Directed";"64844";"";"2";"8923792,20277266"
"2";"517";"degree";"Directed";"64845";"";"3";"9897941,370581282"
"2";"592";"degree";"Directed";"64846";"";"34";"954370,4282860408"
"8";"641";"degree";"Directed";"64847";"";"9";"77510,090061946"
"8";"166";"degree";"Directed";"64848";"";"7";"749606,3361527188"
"2";"948";"degree";"Directed";"64849";"";"2";"11034600,557856152"
"777";"777";"degree";"Directed";"64850";"";"3221";"0,0"
"260";"869";"degree";"Directed";"64851";"";"3";"10797448,988818666"
"2";"475";"degree";"Directed";"64852";"";"3";"10048031,81194829"
"8";"323";"degree";"Directed";"64853";"";"4";"1317012,2300596"
